,name,artist,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,spotify_id,release_date_year,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,genre9,genre10,10,11,12,genres_together,artist_id,artist_followers,artist_popularity
484,Tezeta,Mulatu Astatke,New York - Addis - London: The Story of Ethio Jazz 1965-1975,1969,0.4284700901589522,0.57,0.962,0.551,0.254,0.933,0.0994,0.6554371460016643,0.04452789699570815,0.54,0.39164552680534415,3,0Dv2dILPDIqPjCqGbW9WTN,1969,afrobeat,afropop,ethio-jazz,funk,indie jazz,world,,,,,,,,"afrobeat,afropop,ethio-jazz,funk,indie jazz,world",7HGFXtBhRq3g1Ma3nH4Rgv,128854,57
485,I Was Dancing In The Lesbian Bar,Jonathan Richman,"I, Jonathan",1992-01-01,0.22440454616609387,0.5,0.675,0.829,0.388,0.00263,0.271,0.6804015783963707,0.045171673819742485,0.896,0.5629243072165446,4,2UayKZmrsYyjNj6T8frugJ,1992,alternative rock,anti-folk,art rock,dance rock,lo-fi,protopunk,singer-songwriter,traditional folk,,,,,,"alternative rock,anti-folk,art rock,dance rock,lo-fi,protopunk,singer-songwriter,traditional folk",6hkch2KhRl0tywpeVK5xR5,50610,48
486,Truth,Alex Ebert,Alexander,2011-03-01,0.27669758462009275,0.49,0.177,0.549,0.497,0.00605,0.206,0.8190481303519179,0.08540772532188841,0.385,0.38892029668285377,4,297kL99O1dAFpm3UmtYsfm,2011,alternative americana,,,,,,,,,,,,,alternative americana,1me05HW5s7TShHra5nN7uE,48885,51
487,Cruel Intentions,JMSN,It is.,2016-05-06,0.39761042814572667,0.49,0.351,0.543,0.301,0.000145,0.467,0.7800177166939575,0.08862660944206009,0.284,0.59077094054263,3,3Uemhr6tjTk5mb1Ag0K3UX,2016,alternative r&b,indie r&b,indie soul,,,,,,,,,,,"alternative r&b,indie r&b,indie soul",6HCkJzbswOIc7Qc5TJ1n5l,158691,53
488,Blue Moon - Take 9/M,Elvis Presley,Elvis Presley,1956-03-23,0.13749345984450295,0.54,0.952,0.419,0.1,0.449,0.112,0.43132096743886394,0.04452789699570815,0.256,0.6272039815418811,1,6VqCe4PcokSekHPJQaDx0B,1956,rock-and-roll,rockabilly,,,,,,,,,,,,"rock-and-roll,rockabilly",43ZHCT0cAZBISjO8DG9PnE,4582052,81
489,My Funny Valentine,Chet Baker,Chet Baker Sings,1956,0.10776483927788222,0.61,0.941,0.438,0.00756,0.00643,0.109,0.3343891767106004,0.040987124463519306,0.277,0.6441980140610277,4,4l9hml2UCnxoNI3yCdL1BW,1956,adult standards,bebop,cool jazz,jazz,jazz trumpet,lounge,vocal jazz,,,,,,,"adult standards,bebop,cool jazz,jazz,jazz trumpet,lounge,vocal jazz",3rxeQlsv0Sc2nyYaZ5W71T,624150,67
490,It's Always You - Vocal Version,Chet Baker,Chet Baker Sings,1956,0.21259489395428732,0.6,0.923,0.499,0.0341,5.27e-05,0.131,0.4452527313236518,0.044742489270386265,0.31,0.3949409291875045,4,06UkYE0SZ3Y8zGRFOuWGAe,1956,adult standards,bebop,cool jazz,jazz,jazz trumpet,lounge,vocal jazz,,,,,,,"adult standards,bebop,cool jazz,jazz,jazz trumpet,lounge,vocal jazz",3rxeQlsv0Sc2nyYaZ5W71T,624150,67
491,Lola,The Kinks,Come Dancing With The Kinks,1986,0.3143040075816444,0.0,0.181,0.482,0.89,0.0104,0.988,0.837274850347623,0.13948497854077252,0.487,0.39022009615616915,4,3gjH53gXCtrCmibPbnBfo6,1986,album rock,art rock,british invasion,classic rock,dance rock,folk rock,glam rock,mellow gold,protopunk,psychedelic rock,rock,,,"album rock,art rock,british invasion,classic rock,dance rock,folk rock,glam rock,mellow gold,protopunk,psychedelic rock,rock",1SQRv42e4PjEYfPhS0Tk9E,1632771,72
492,Don't Worry Baby - Remastered 2001,The Beach Boys,Shut Down (Remastered),1964-03-02,0.14838079147516292,0.65,0.0666,0.487,0.464,0.00531,0.105,0.7805008992564357,0.032188841201716736,0.851,0.5858375009059941,4,1GLmaPfulP0BrfijohQpN5,1964,baroque pop,brill building pop,classic rock,folk rock,psychedelic rock,rock,sunshine pop,,,,,,,"baroque pop,brill building pop,classic rock,folk rock,psychedelic rock,rock,sunshine pop",3oDbviiivRWhXwIE8hxkVV,2772489,77
493,Can't Stop A Man,Beres Hammond,Love From A Distance,2006-10-31,0.24696896405347202,0.16,0.433,0.67,0.484,0.0,0.0685,0.7893592462352025,0.1684549356223176,0.666,0.3944335725157643,4,0BD6mfo0RGTSSW4U06fljn,2006,lovers rock,old school dancehall,reggae,roots reggae,,,,,,,,,,"lovers rock,old school dancehall,reggae,roots reggae",2ruMkdO4e1tJWDHsYSEtxr,158813,55
