,Track Name,Artist,Streams,date,spotify_id,year,Streamstotal,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,release_year,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,genre9,genre10,genres_together,artist_id,artist_followers,artist_popularity,streamstotal_weights
32887,Desconocidos,Mau y Ricky,104536,2019-05-03,56f5qnyAlZdlz8wrUDA50h,2019,952136,Para Aventuras y Curiosidades,2019-05-03,0.3342111808887373,0.76,0.11800000000000001,0.7190000000000001,0.753,4.21e-06,0.212,0.8585357846355878,0.22553561088592936,0.675,0.7460429876195122,4,2019-01-01,latin,latin pop,pop venezolano,reggaeton,,,,,,,"latin,latin pop,pop venezolano,reggaeton",2wkoKEfS6dXwThbyTnZWFU,2214506,0.8080808080808081,0.0010210487476665037
32897,La Boca,Mau y Ricky,31065,2019-05-03,0UQwlF2pRkr1lMN6kNNUj3,2019,111027,Para Aventuras y Curiosidades,2019-05-03,0.3386115306601294,0.78,0.0655,0.618,0.795,0.0,0.309,0.9600131319763624,0.12999420961204405,0.76,0.8248424878566991,4,2019-01-01,latin,latin pop,pop venezolano,reggaeton,,,,,,,"latin,latin pop,pop venezolano,reggaeton",2wkoKEfS6dXwThbyTnZWFU,2214506,0.8080808080808081,0.00011906280122500241
32900,Mi Mala - Remix,Mau y Ricky,51065,2018-03-13,6kOHug1s9Nd5gsHrX8irs2,2018,3596261,Mi Mala (Remix),2018-02-09,0.4650856862981416,0.02,0.0189,0.735,0.652,0.0,0.15,0.8738017071569271,0.3080486392588304,0.7759999999999999,0.7318318177870128,4,2018-01-01,latin,latin pop,pop venezolano,reggaeton,,,,,,,"latin,latin pop,pop venezolano,reggaeton",2wkoKEfS6dXwThbyTnZWFU,2214506,0.8080808080808081,0.0051098730022015315
32961,Say My Name,David Guetta,135953,2019-03-13,0YammaEkYSeo9vQYZ1OwS6,2019,6755466,7,2018-09-14,0.31980747187596964,0.77,0.13699999999999998,0.703,0.66,0.0,0.192,0.8510505581089954,0.14447017950202665,0.79,0.21771084578842936,4,2018-01-01,dance pop,edm,pop,,,,,,,,"dance pop,edm,pop",1Cs0zKBU1kc0i8ypK3B9ai,21435940,0.8787878787878788,0.007244406365481028
33022,Flames,David Guetta,47625,2019-03-13,66BjcDhhwWCcQIBxHMpKXh,2019,1970335,7,2018-09-14,0.30886814080093544,0.65,0.0817,0.631,0.649,3.8e-06,0.0934,0.8256730137885753,0.022148233931673426,0.42100000000000004,0.2104883377541408,4,2018-01-01,dance pop,edm,pop,,,,,,,,"dance pop,edm,pop",1Cs0zKBU1kc0i8ypK3B9ai,21435940,0.8787878787878788,0.0021129419371113795
33075,Stay (Don't Go Away) [feat. Raye],David Guetta,63332,2019-05-10,4YhN72dRYL2Z3MsaKyT7rS,2019,63332,Stay (Don't Go Away) [feat. Raye],2019-05-09,0.2864612315337886,0.68,0.259,0.669,0.797,0.0,0.19899999999999998,0.8326329612606698,0.05674580196873191,0.552,0.3836347722671727,4,2019-01-01,dance pop,edm,pop,,,,,,,,"dance pop,edm,pop",1Cs0zKBU1kc0i8ypK3B9ai,21435940,0.8787878787878788,6.791578019024069e-05
33076,Like I Do,David Guetta,31813,2018-03-13,6RnkFd8Fqqgk1Uni8RgqCQ,2018,1941167,Like I Do,2018-02-22,0.3289210167987712,0.7,0.006640000000000001,0.635,0.9,0.0145,0.37,0.8970124753775444,0.02099015634047481,0.15,0.4378403297900061,4,2018-01-01,dance pop,edm,pop,,,,,,,,"dance pop,edm,pop",1Cs0zKBU1kc0i8ypK3B9ai,21435940,0.8787878787878788,0.002758174906121814
33137,Flames,David Guetta,32053,2018-03-23,33IOhptvC2Qoy2UhjiHXLV,2018,1184623,Flames,2018-03-22,0.3096887188468827,0.74,0.0723,0.609,0.726,8.45e-06,0.0895,0.8764281024294156,0.026346265199768387,0.36200000000000004,0.21054178832238712,4,2018-01-01,dance pop,edm,pop,,,,,,,,"dance pop,edm,pop",1Cs0zKBU1kc0i8ypK3B9ai,21435940,0.8787878787878788,0.0016832129496404697
33175,Light My Body Up (feat. Nicki Minaj & Lil Wayne),David Guetta,31616,2017-03-24,3vgNmjuRDnGLxUFGCLkwpm,2017,177456,Light My Body Up (feat. Nicki Minaj & Lil Wayne),2017-03-23,0.3881975233928851,0.53,0.00365,0.6990000000000001,0.66,0.0,0.139,0.7888706500328301,0.09105385060799072,0.6890000000000001,0.5578301741820394,4,2017-01-01,dance pop,edm,pop,,,,,,,,"dance pop,edm,pop",1Cs0zKBU1kc0i8ypK3B9ai,21435940,0.8787878787878788,0.00041922084087371824
33183,Sweet but Psycho,Ava Max,127649,2019-03-13,25sgk305KZfyuqVBQIahim,2019,5863559,Sweet but Psycho,2018-08-17,0.29029230528580474,0.85,0.0691,0.7190000000000001,0.7040000000000001,0.0,0.166,0.8640183847669074,0.035321366531557624,0.628,0.4714072866487163,4,2018-01-01,dance pop,pop,,,,,,,,,"dance pop,pop",4npEfmQ6YuiwW1GpUmaq3F,2095492,0.8787878787878788,0.00628794581217248
33244,Te Vi,Piso 21,126983,2019-03-13,059bcIhyc2SBwm6sw2AZzd,2019,6498126,Te Vi,2018-12-14,0.4041782808377076,0.8,0.0446,0.877,0.777,3.46e-05,0.0863,0.8797110965200262,0.13578459756803707,0.706,0.26440659847264997,4,2018-01-01,colombian pop,latin,latin pop,reggaeton,reggaeton colombiano,,,,,,"colombian pop,latin,latin pop,reggaeton,reggaeton colombiano",4bw2Am3p9ji3mYsXNXtQcd,5906616,0.8080808080808081,0.006968440868194404
