,name,artist,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,spotify_id,release_date_year
23,Blinding Lights,The Weeknd,After Hours,2020-03-20,0.4515995014540922,1.0,0.00146,0.514,0.73,9.54e-05,0.0897,0.7788142736723799,0.06254173158246161,0.334,0.897676699102361,4,0VjIjW4GlUZAMYd2vXMi3b,2020
24,Negro,J Balvin,Colores,2020-03-19,0.38381614231219546,0.6774193548387096,0.0157,0.795,0.911,0.206,0.131,0.9870750210733352,0.12419318940574227,0.8,0.8323904352417589,4,2hsA9YWuF3C9Gosi4dpjJN,2020
25,Supalonely,BENEE,STELLA & STEVE,2019-11-15,0.5401291687124674,0.8387096774193549,0.305,0.863,0.631,3.04e-05,0.123,0.848777746558022,0.048297351435566446,0.817,0.5013954891755299,4,4nK5YrxbMGZstTLbvj6Gxw,2019
26,Roses - Imanbek Remix,SAINt JHN,Roses (Imanbek Remix),2019-10-09,0.3639762813007516,0.9193548387096774,0.0167,0.77,0.724,0.0107,0.353,0.8041022759202023,0.0396171822835522,0.898,0.4353737648035,4,24Yi9hE78yPEbZ4kxyoXAI,2019
27,Con Altura,ROSALÍA,Con Altura,2019-03-28,0.30651508856743587,0.7096774193548387,0.39,0.882,0.689,0.00325,0.0501,0.8859792076425962,0.20543066993100378,0.746,0.20896507505468803,4,2qG5sZ7Si6sdK74qLxedYM,2019
28,Toosie Slide,Drake,Toosie Slide,2020-04-03,0.6291800430562375,0.8387096774193549,0.321,0.834,0.454,6.15e-06,0.114,0.5643720146108457,0.3768083685733363,0.837,0.05484838198687479,4,127QTOFJsJQp5LbJbu3A1y,2020
29,Watermelon Sugar,Harry Styles,Fine Line,2019-12-13,0.3532499905578427,0.967741935483871,0.122,0.548,0.816,0.0,0.335,0.8757516156223659,0.03294012908969508,0.557,0.1847043071584823,4,6UelLqGlWMcVH1E5c4H7lY,2019
30,Money In The Grave (Drake ft. Rick Ross),Drake,The Best In The World Pack,2019-06-15,0.4719416852362428,0.7580645161290323,0.101,0.831,0.502,0.0,0.122,0.8849676875526834,0.0318272868907189,0.101,0.23327298785547254,4,5ry2OE6R2zPQFDO85XkgRb,2019
31,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)",Super Yei,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)",2017-03-31,0.680118593496242,0.8225806451612904,0.111,0.863,0.669,0.0,0.0569,0.777802753582467,0.5570888048074782,0.947,0.8322112846043601,4,5DoLhdU27owX1NMrKLUbUl,2017
32,Callaita,Bad Bunny,Callaita,2019-05-31,0.6423046417645504,0.7580645161290323,0.6,0.61,0.624,2.12e-06,0.243,0.8440573194717618,0.6171822835521923,0.244,0.946367956551256,4,2TH65lNHgvLxCKXM3apjxI,2019
33,La Curiosidad,Jay Wheeler,Platonicos,2020-06-12,0.5233901121728293,0.9193548387096774,0.269,0.845,0.677,0.000917,0.108,0.8426524304579939,0.23213888270643224,0.68,0.13400467677453423,4,4HYDUMY0xSpeBr0AMY9cUz,2020
34,PAM,Justin Quiles,PAM,2020-05-01,0.45522528987423044,0.7903225806451613,0.289,0.889,0.863,0.000603,0.0798,0.9430738971621243,0.09793011350990431,0.776,0.35030549898167007,4,0eeKDrQxjqNl5bX5VCHDcn,2020
35,Stayin' Alive,Various Artists,Staying Alive (Original Motion Picture Soundtrack),1977-12-13,0.04681799297503494,0.45161290322580644,0.113,0.707,0.535,0.00615,0.0884,0.0,0.02648564433563321,0.641,0.262531115637022,4,4UDmDIqJIbrW0hMBQMFOsM,1977
36,Life Is Good (feat. Drake),Future,Life Is Good (feat. Drake),2020-01-10,0.5939683498885825,0.8064516129032258,0.0706,0.676,0.609,0.0,0.152,0.7846024164091038,1.0,0.508,0.6245379799351287,4,5yY9lUy8nbvjM1Uyo1Uqoc,2020
37,HIGHEST IN THE ROOM,Travis Scott,HIGHEST IN THE ROOM,2019-10-04,0.35974619481059034,0.8548387096774194,0.0546,0.598,0.427,5.83e-06,0.21,0.6197808373138523,0.0,0.0605,0.006298559251716001,4,3eekarcy7kvN4yt5ZFzltW,2019
38,BOP,DaBaby,KIRK,2019-09-27,0.29929372663066056,0.7741935483870968,0.189,0.769,0.787,0.0,0.129,0.8926102837875809,0.7462719786334298,0.836,0.48058572829448587,4,6Ozh9Ok6h4Oi1wUSLtBseN,2019
39,PA' ROMPERLA,Bad Bunny,LAS QUE NO IBAN A SALIR,2020-05-10,0.4295426218982513,0.7258064516129032,0.016,0.772,0.83,0.0,0.0843,0.8302332115762855,0.06276430002225686,0.697,0.17170174247567319,4,5XqCz18k96K8tx6DAYM97i,2020
40,goosebumps,Travis Scott,Birds In The Trap Sing McKnight,2016-09-16,0.6170109906711485,0.8548387096774194,0.0847,0.841,0.728,0.0,0.149,0.9228996909244169,0.037168929445804584,0.43,0.511503356717206,4,6gBFPUFcJLzWGx4lenP6h2,2016
41,QUE PRETENDES,J Balvin,OASIS,2019-06-28,0.5358462061411792,0.6774193548387096,0.0275,0.639,0.791,0.0,0.362,0.8626018544534982,0.49254395726685957,0.939,0.15842573734630755,4,25ZAibhr3bdlMCLmubZDVt,2019
42,Tattoo - Remix with Camilo,Rauw Alejandro,Tattoo (Remix with Camilo),2020-07-09,0.5371076783623522,0.9193548387096774,0.0413,0.848,0.637,0.0,0.0521,0.8238831132340546,0.27665257066547966,0.698,0.19977181866183902,4,4ZRrLHqzhGRXYj2qcB4s5S,2020
43,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,"Agua (with J Balvin) [Music From ""Sponge On The Run"" Movie]",2020-07-09,0.29260867923103073,0.9032258064516129,0.162,0.76,0.658,0.0,0.195,0.8158471480753021,0.5415090140218117,0.565,0.2300765633250358,4,1pqnQ41XbfKjaFu6M0eGJp,2020
44,La Difícil,Bad Bunny,YHLQMDLG,2020-02-28,0.31202175473052085,0.7741935483870968,0.0861,0.685,0.848,7.14e-06,0.0783,0.8559707783085136,0.12040952592922324,0.761,0.9812646149204195,4,6NfrH0ANGmgBXyxgV2PeXt,2020
45,Si Veo a Tu Mamá,Bad Bunny,YHLQMDLG,2020-02-28,0.341809872719719,0.7580645161290323,0.402,0.9,0.603,4.81e-06,0.134,0.8137117167743749,0.073225016692633,0.824,0.5103624500264011,4,41wtwzCZkXwpnakmwJ239F,2020
46,Hasta Que Dios Diga,Anuel AA,Emmanuel,2020-05-29,0.6251841220682102,0.8548387096774194,0.464,0.691,0.765,3.29e-06,0.203,0.8466423152570948,0.176496772757623,0.855,0.9261145055442407,4,06s3QtMJVXw1AJX3UfvZG1,2020
47,China,Anuel AA,China,2019-07-19,0.8356082637761075,0.7419354838709677,0.0846,0.786,0.808,0.000289,0.0822,0.9042427648215793,0.12575116848430892,0.609,0.275571396243494,4,2ksOAxtIxY8yElEWw8RhgK,2019
48,Hola - Remix,Dalex,Hola (Remix),2019-11-01,0.638478679608717,0.7741935483870968,0.471,0.654,0.672,0.0,0.0781,0.776229277887047,0.6216336523480971,0.343,1.0,4,5stPVcRqb4qixbafP9e8lt,2019
49,Relación,Sech,Relación,2020-04-02,0.39197794312044415,0.6129032258064516,0.125,0.805,0.562,4.96e-06,0.148,0.9371171677437482,0.16314266636990876,0.767,0.9079448593196047,4,4lMOQR1rRW5hJgJXOtKraL,2020
50,"Ay, DiOs Mío!",KAROL G,"Ay, DiOs Mío!",2020-07-10,0.4123692261207841,0.9193548387096774,0.512,0.718,0.712,0.00121,0.104,0.8669289126159034,0.3167148898286223,0.531,0.9828109677906012,4,7x4ASXYEKfQBCewcZhK776,2020
