,name,artist,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,spotify_id,release_date_year
35,Without Me,Halsey,Without Me,2018-10-04,0.36239438325669204,0.9101123595505618,0.297,0.752,0.488,9.11e-06,0.0936,0.6330672554347827,0.09242761692650334,0.533,0.5129225908372826,4,5p7ujcrUXASCNwRaWNHR1C,2018
36,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,No.6 Collaborations Project,2019-07-12,0.38129784861356486,0.7191011235955056,0.212,0.746,0.787,0.0,0.0669,0.6905570652173915,0.2026726057906459,0.607,0.1887835703001579,4,4wuCQX7JvAZLlrcmH4AeZF,2019
37,when the party's over,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,0.3390762111207174,0.9438202247191011,0.978,0.367,0.111,3.97e-05,0.0897,0.035750679347826185,0.15189309576837418,0.198,0.09112954186413895,4,43zdsphuZLzwA9k4DJhU0I,2019
38,Eastside (with Halsey & Khalid),benny blanco,FRIENDS KEEP SECRETS,2018-12-07,0.23337384672572434,0.8202247191011236,0.549,0.632,0.686,0.0,0.2,0.5808423913043479,0.4766146993318486,0.329,0.14884676145339648,4,7FGq80cy8juXBCD2nrqdWU,2018
39,Fashion Week (feat. AJ Tracey & MoStack),Steel Banglez,Fashion Week (feat. AJ Tracey & MoStack),2019-03-21,0.36380608703279077,0.7303370786516854,0.272,0.694,0.757,0.000161,0.0995,0.645889945652174,0.3073496659242762,0.703,0.20586097946287515,4,78KyOmqWmqLkQcXO1cA7MO,2019
40,Going Bad (feat. Drake),Meek Mill,Championships,2018-11-30,0.27410860095143824,0.898876404494382,0.259,0.889,0.496,0.0,0.252,0.6912364130434783,0.13697104677060135,0.544,0.11767772511848337,4,2IRZnDFmlqMuOrYOLnZZyc,2018
41,All Day And Night,Jax Jones,Snacks,2019-07-12,0.22793168690247967,0.7865168539325843,0.317,0.567,0.765,0.0,0.14,0.8829823369565217,0.1759465478841871,0.541,0.40141390205371247,4,5naYe7rLMZcLfO1DKg48MK,2019
42,Take Me Back to London (feat. Stormzy),Ed Sheeran,No.6 Collaborations Project,2019-07-12,0.3125796171693251,0.7865168539325843,0.219,0.885,0.762,0.0,0.162,0.7635869565217392,0.4164810690423163,0.605,0.5288546603475512,4,1AI7UPw3fgwAFkvAlZWhE0,2019
43,i'm so tired...,Lauv,~how i'm feeling~,2019-11-14,0.19917970822004202,0.0,0.176,0.599,0.733,0.0,0.242,0.6323879076086958,0.3875278396436526,0.534,0.24570300157977878,4,2iwS33Jfev1QBiuhWVWZHY,2019
44,SICKO MODE,Travis Scott,ASTROWORLD,2018-08-03,0.8266695067807724,0.9775280898876404,0.00513,0.834,0.73,0.0,0.124,0.9163552989130436,0.42984409799554574,0.446,0.6627409162717219,4,2xLMifQCjDGFmkHkpNLD9h,2018
45,Keisha & Becky - Remix,Russ Millions,Keisha & Becky (Remix),2019-04-11,0.5764303942328977,0.7752808988764045,0.251,0.863,0.471,0.0,0.121,0.42119565217391314,1.0,0.644,0.5518483412322274,4,5wIjM4q7oIgiLqn8Qfoyxh,2019
46,Taste (Make It Shake),Aitch,AitcH2O,2019-09-06,0.41259757671440567,0.7303370786516854,0.277,0.761,0.442,0.0,0.125,0.13867187500000008,0.7884187082405345,0.706,0.2104897314375987,3,1xPpYbCaJWonL7IFXPDjON,2019
47,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,Hoodie SZN,2018-12-21,0.31154798748679136,0.898876404494382,0.0153,0.581,0.662,0.0,0.111,0.7868546195652175,0.6102449888641426,0.434,0.17312796208530798,4,1wJRveJZLSb1rjhnUHQiv6,2018
48,Funky Friday,Dave,Funky Friday,2018-10-04,0.28337656154067836,0.7528089887640449,0.0783,0.975,0.535,0.0,0.107,0.6180366847826088,0.3719376391982183,0.671,0.4262322274881516,4,01IQ4aQgOf0Kkq3a273hmO,2018
49,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,2019-10-17,0.394880276660527,1.0,0.692,0.824,0.588,0.000104,0.149,0.6882642663043479,0.14120267260579067,0.513,0.2126540284360189,4,2XU0oxnq2qxCpomAAuJY8K,2019
50,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,Late Night Feelings,2019-06-21,0.4268775033726355,0.7191011235955056,0.00987,0.601,0.794,1.36e-06,0.418,0.7354789402173915,0.08485523385300671,0.244,0.33934439178515,4,02dRkCEc8Q5ch4TTcnLxOn,2019
51,Here With Me,Marshmello,Here With Me,2019-03-08,0.17313419121485882,0.8651685393258427,0.0623,0.791,0.565,0.0,0.156,0.8977581521739132,0.03318485523385301,0.181,0.22793048973143754,4,5icOoE6VgqFKohjWWNp0Ac,2019
52,Sorry,Joel Corry,Sorry,2019-04-05,0.30801455140815365,0.7865168539325843,0.0547,0.744,0.79,0.000802,0.32,0.8396739130434784,0.060579064587973276,0.847,0.4257266982622432,4,6y1UtRcHQU07aUs3oxZ8Yn,2019
53,Mr. Brightside,The Killers,Hot Fuss,2004-06-07,0.4477899317954951,0.797752808988764,0.00113,0.352,0.928,0.0,0.0987,0.9166949728260871,0.10423162583518934,0.239,0.6075908372827804,4,7d8GetOsjbxYnlo6Y9e5Kw,2004
54,Wish You Well,Sigala,Wish You Well,2019-05-24,0.3790717003512553,0.7865168539325843,0.128,0.669,0.895,0.0,0.297,0.91015625,0.06347438752783965,0.576,0.4255134281200631,4,1yAPglN5AGf7UoLK062ZYq,2019
55,Advice,Cadet,Advice,2018-09-14,0.32443291692248577,0.6741573033707865,0.201,0.911,0.529,0.0,0.101,0.552734375,0.6659242761692651,0.76,0.26826224328593984,4,1fp2uoWXPca3mIdxRHIgQm,2018
56,Mad Love,Mabel,High Expectations,2019-08-02,0.22938098042409585,0.056179775280898875,0.667,0.622,0.796,0.0,0.106,0.9770720108695653,0.3184855233853007,0.62,1.0,4,0bfWT3AgM7ZTuqesJvRP6H,2019
57,Better Now,Post Malone,beerbongs & bentleys,2018-04-27,0.4860479394554499,0.9213483146067416,0.331,0.68,0.578,0.0,0.135,0.7388756793478262,0.0244988864142539,0.341,0.5839889415481833,4,7dt6x5M1jzdTEt8oCbisTK,2018
58,Body,Loud Luxury,Body,2018-03-02,0.20182769695982491,0.7078651685393258,0.0503,0.759,0.774,4.02e-05,0.056,0.8574218750000001,0.02026726057906459,0.596,0.4017693522906792,4,2fCUI41zhGk9isZnOMfxSP,2018
59,Goodbyes (feat. Young Thug),Post Malone,Hollywood's Bleeding,2019-09-06,0.25043123791385263,0.9101123595505618,0.456,0.548,0.653,0.0,0.103,0.9026834239130436,0.11581291759465481,0.163,0.6237203791469195,4,0t3ZvGKlmYmVsDzBJAXK8C,2019
60,So High (feat. Fredo),MIST,So High (feat. Fredo),2019-07-04,0.2015186257189039,0.7415730337078652,0.00612,0.866,0.714,1.88e-05,0.0787,0.7131453804347826,0.4253897550111359,0.384,0.2914691943127961,4,5aubXDnDNVKA5pS7EnR0mp,2019
61,If I Can't Have You,Shawn Mendes,Shawn Mendes (Deluxe),2019-06-19,0.3198177315006244,0.8314606741573034,0.487,0.691,0.823,0.0,0.134,0.8753396739130435,0.07416481069042316,0.87,0.4172985781990521,4,2bT1PH7Cw3J9p3t7nlXCdh,2019
62,Boasty (feat. Idris Elba),Wiley,Boasty (feat. Idris Elba),2019-01-22,0.260171158641256,0.7640449438202247,0.00915,0.887,0.765,0.000872,0.0907,0.7895720108695654,0.08440979955456572,0.456,0.25160347551342804,4,7cz506PyIgh2bMN90Mc8Tn,2019
63,No Guidance (feat. Drake),Chris Brown,Indigo,2019-06-28,0.6087325155475364,0.9325842696629213,0.123,0.698,0.454,0.0,0.155,0.6580332880434783,0.2717149220489978,0.137,0.17240916271721957,4,6XHVuErjQ4XNm6nDPVCxVX,2019
64,MIDDLE CHILD,J. Cole,MIDDLE CHILD,2019-01-23,0.4122342091744039,0.9101123595505618,0.149,0.837,0.364,0.0,0.271,0.23709239130434798,0.5501113585746104,0.463,0.41768562401263815,4,2JvzF1RMd7lE3KmFlsyZD8,2019
65,Promises (with Sam Smith),Calvin Harris,Promises (with Sam Smith),2018-08-17,0.41104804387140964,0.8876404494382022,0.0119,0.781,0.768,4.91e-06,0.325,0.7229959239130436,0.02316258351893095,0.486,0.41046603475513416,4,5N5k9nd479b1xpDZ4usjrg,2018
