,Position,Track Name,Artist,Streams,date,spotify_id,year,Streamstotal,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,artist_id,artist_followers,artist_popularity
16,11,Ignorantes,Bad Bunny,199487,2020-03-30,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
17,12,Ignorantes,Bad Bunny,195105,2020-03-31,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
18,13,Ignorantes,Bad Bunny,197272,2020-04-01,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
19,13,Ignorantes,Bad Bunny,192456,2020-04-02,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
20,14,Ignorantes,Bad Bunny,183982,2020-04-03,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
21,14,Ignorantes,Bad Bunny,185456,2020-04-04,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
22,14,Ignorantes,Bad Bunny,170326,2020-04-05,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
23,15,Ignorantes,Bad Bunny,176634,2020-04-06,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
24,15,Ignorantes,Bad Bunny,171522,2020-04-07,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
25,16,Ignorantes,Bad Bunny,176527,2020-04-08,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
