Position,Track Name,Artist,Streams,date,region,spotify_id
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,401425,2017-03-14,es,4aWmUDTfIPGksMNLV2rQP2
2,SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),Enrique Iglesias,337665,2017-03-14,es,7nKBxz47S9SD79N086fuhn
3,Shape of You,Ed Sheeran,295039,2017-03-14,es,7qiZfU4dY1lWllzX7mPBI3
4,El Amante,Nicky Jam,208177,2017-03-14,es,3umS4y3uQDkqekNjVpiRUs
5,Reggaetón Lento (Bailemos),CNCO,177515,2017-03-14,es,3AEZUABDXNtecAOSC1qTfo
6,Lumbra,Cali Y El Dandee,174088,2017-03-14,es,6VHdcVbiKLYYOcMbIqBcuK
7,La Rompe Corazones,Daddy Yankee,164694,2017-03-14,es,4okba5wu9mMLXx79DXLKi3
8,Chantaje (feat. Maluma),Shakira,160395,2017-03-14,es,6mICuAdrwEjh6Y6lroV2Kg
9,It Ain't Me (with Selena Gomez),Kygo,152488,2017-03-14,es,3eR23VReFzcdmS7TYCrhCe
10,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,149610,2017-03-14,es,5knuzwU65gJK7IF5yJsuaW
11,Me Rehúso,Danny Ocean,149028,2017-03-14,es,6De0lHrwBfPfrhorm9q1Xl
12,Something Just Like This,The Chainsmokers,132838,2017-03-14,es,6RUKPb4LETWmmr3iAEQktW
13,Otra vez (feat. J Balvin),Zion & Lennox,128387,2017-03-14,es,3QwBODjSEzelZyVjxPOHdq
14,Castle on the Hill,Ed Sheeran,125420,2017-03-14,es,6PCUP3dWmTjcTtXY02oFdT
15,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,119573,2017-03-14,es,3NdDpSvN911VPGivFlV5d0
16,Ando buscando (feat. Piso 21),Carlos Baute,118816,2017-03-14,es,7BwJtE8KSbCQKOCTIAY3jX
17,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,118236,2017-03-14,es,5q2JbCNi4FcnglgPfxcV65
18,Gyal You A Party Animal - Remix,Charly Black,112069,2017-03-14,es,1AkTW13ysu0AJrwuM6UY0I
19,Chained To The Rhythm,Katy Perry,110223,2017-03-14,es,6520aj0B4FSKGVuKNsOCOi
20,Sigo Extrañándote,J Balvin,108904,2017-03-14,es,6qDF4wWL49CAVbgT7yuHl8
21,Paris,The Chainsmokers,106735,2017-03-14,es,72jbDTw1piOOj770jWNeaG
22,Te Quiero Pa´Mi,Don Omar,106316,2017-03-14,es,3BY2mafsbsoKGqS380Xnuz
23,Safari,J Balvin,105965,2017-03-14,es,6rQSrBHf7HlZjtcMZ4S4bO
24,Me llamas (feat. Maluma) - Remix,Piso 21,105840,2017-03-14,es,5hEM0JchdVzQ5PwvSfITeX
