,Track Name,Artist,Streams,date,spotify_id,year,Streamstotal,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,release_date_year,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,genre9,genre10,genres_together,artist_id,artist_followers,artist_popularity,streamstotal_weights,genre_depurated,genre_depurated_final
1402,Scooby Doo Pa Pa,Dj Kass,22061,2018-03-15,7qwULjvTujatIaoWC1lu8b,2018,596526,Scooby Doo Pa Pa,2018-01-19,0.1839659049821909,0.14,0.042,0.909,0.755,0.00121,0.106,0.9340774786605384,0.3080486392588304,0.638,0.3908706429435228,4,2018-01-01,chilean hardcore,,,,,,,,,,chilean hardcore,431Pb5EV8KsCBGTw96ZTQ4,29935,0.5050505050505051,0.0008475947942908679,chilean hardcore,other
1403,Scooby Doo Pa Pa,Dj Kass,21389,2018-04-08,2R1G6zNBdLR4VLZXqI99On,2018,21389,Scooby Doo Pa Pa,2018-04-05,0.17719870040951974,0.0,0.0345,0.905,0.713,0.000496,0.187,0.9141168745896258,0.3616097278517661,0.5479999999999999,0.3909374561538307,4,2018-01-01,chilean hardcore,,,,,,,,,,chilean hardcore,431Pb5EV8KsCBGTw96ZTQ4,29935,0.5050505050505051,3.0391307428489916e-05,chilean hardcore,other
1404,Mala,Reykon,21096,2018-03-15,19GAbd0QO9vic4TmHU3OFg,2018,1255232,Mala,2018-03-09,0.2637876344017089,0.5,0.0569,0.784,0.8370000000000001,0.0,0.0726,0.9410045961917268,0.19513607411696585,0.894,0.7312639054993955,4,2018-01-01,latin,latin hip hop,latin pop,perreo,reggaeton,reggaeton colombiano,reggaeton flow,trap latino,tropical,,"latin,latin hip hop,latin pop,perreo,reggaeton,reggaeton colombiano,reggaeton flow,trap latino,tropical",3PAwspMN27PDm81WwXDsMf,2034634,0.6666666666666666,0.001783540212542814,latin hip hop,hip hop
1405,Mala,Reykon,28970,2018-05-04,7HPZ1SgxeZnV3A85Fwzxrp,2018,245573,El Lider,2018-05-04,0.2637876344017089,0.44,0.0569,0.784,0.8370000000000001,0.0,0.0726,0.9410045961917268,0.19513607411696585,0.894,0.7312639054993955,4,2018-01-01,latin,latin hip hop,latin pop,perreo,reggaeton,reggaeton colombiano,reggaeton flow,trap latino,tropical,,"latin,latin hip hop,latin pop,perreo,reggaeton,reggaeton colombiano,reggaeton flow,trap latino,tropical",3PAwspMN27PDm81WwXDsMf,2034634,0.6666666666666666,0.00034893097101952185,latin hip hop,hip hop
1406,El chisme (feat. J Álvarez & Kevin Roldán) - Remix,Reykon,18985,2017-03-13,58EQDn2K9Gyj68YIckOLrN,2017,1177447,El Chisme (feat. J Alvarez & Kevin Roldan) [Remix],2017-01-20,0.39214911954539977,0.51,0.0748,0.748,0.909,0.0,0.629,0.9042022324359816,0.0901852924145918,0.8320000000000001,0.20420789598519426,4,2017-01-01,latin,latin hip hop,latin pop,perreo,reggaeton,reggaeton colombiano,reggaeton flow,trap latino,tropical,,"latin,latin hip hop,latin pop,perreo,reggaeton,reggaeton colombiano,reggaeton flow,trap latino,tropical",3PAwspMN27PDm81WwXDsMf,2034634,0.6666666666666666,0.002781592740872312,latin hip hop,hip hop
1407,El chisme,Reykon,17634,2017-03-15,4VXejnj5WgM6H72ct2fSgQ,2017,391578,El Chisme,2016-08-26,0.2655800845708249,0.55,0.119,0.723,0.929,0.0,0.171,0.9198949441891006,0.11986103068905615,0.812,0.20390055521777767,4,2016-01-01,latin,latin hip hop,latin pop,perreo,reggaeton,reggaeton colombiano,reggaeton flow,trap latino,tropical,,"latin,latin hip hop,latin pop,perreo,reggaeton,reggaeton colombiano,reggaeton flow,trap latino,tropical",3PAwspMN27PDm81WwXDsMf,2034634,0.6666666666666666,0.0009250611894083539,latin hip hop,hip hop
1408,Déjame te explico,Reykon,18807,2017-04-15,7jzpAD8q77nwEmSsqUeUjy,2017,619328,Déjame Te Explico,2017-03-31,0.2771989568401591,0.52,0.26,0.836,0.78,0.0,0.231,0.8730794484569928,0.06268094962362479,0.865,0.2041009948487015,4,2017-01-01,latin,latin hip hop,latin pop,perreo,reggaeton,reggaeton colombiano,reggaeton flow,trap latino,tropical,,"latin,latin hip hop,latin pop,perreo,reggaeton,reggaeton colombiano,reggaeton flow,trap latino,tropical",3PAwspMN27PDm81WwXDsMf,2034634,0.6666666666666666,0.0014630962319484163,latin hip hop,hip hop
1409,El Clavo,Prince Royce,47135,2018-03-16,0LKErfBZ5FbBiLB4OcZRbL,2018,6177865,El Clavo,2018-03-16,0.25263033728321993,0.61,0.0435,0.8270000000000001,0.78,0.0,0.133,0.9102757715036112,0.1589461493920093,0.6579999999999999,0.11738412919002347,4,2018-01-01,bachata,latin,latin pop,reggaeton,tropical,,,,,,"bachata,latin,latin pop,reggaeton,tropical",3MHaV05u0io8fQbZ2XPtlC,5640046,0.8080808080808081,0.008778035180078912,bachata,reggaeton
1410,El Clavo (feat. Maluma) - Remix,Prince Royce,37180,2018-05-12,6bI00brFpeprqCDqKouEJS,2018,37180,El Clavo (feat. Maluma) [Remix],2018-05-11,0.2490095366554777,0.68,0.0576,0.789,0.797,0.0,0.104,0.929612606697308,0.1314418066010423,0.73,0.6656800582611195,4,2018-01-01,bachata,latin,latin pop,reggaeton,tropical,,,,,,"bachata,latin,latin pop,reggaeton,tropical",3MHaV05u0io8fQbZ2XPtlC,5640046,0.8080808080808081,5.282850110763734e-05,bachata,reggaeton
1411,Deja vu,Prince Royce,42014,2017-03-13,46HdsiK0uR26B2dY9QPzda,2017,5415581,FIVE (Deluxe Edition),2017-02-24,0.3134838923093887,0.69,0.39,0.732,0.8009999999999999,0.0,0.31,0.8924162836506894,0.0137521713954835,0.8240000000000001,0.4111350896299216,4,2017-01-01,bachata,latin,latin pop,reggaeton,tropical,,,,,,"bachata,latin,latin pop,reggaeton,tropical",3MHaV05u0io8fQbZ2XPtlC,5640046,0.8080808080808081,0.012793731520149964,bachata,reggaeton
1412,Ganas Locas (feat. Farruko),Prince Royce,26238,2017-03-13,7JpzzaCzljQdfnG7wPRqSe,2017,1609794,FIVE (Deluxe Edition),2017-02-24,0.32363854562798583,0.57,0.0386,0.589,0.905,0.0,0.0827,0.8668089297439265,0.0418355529820498,0.7559999999999999,0.7587842668252368,4,2017-01-01,bachata,latin,latin pop,reggaeton,tropical,,,,,,"bachata,latin,latin pop,reggaeton,tropical",3MHaV05u0io8fQbZ2XPtlC,5640046,0.8080808080808081,0.0038029663370833695,bachata,reggaeton
1413,Te Voy a Amar,Andrés Cepeda,27259,2018-03-16,6G6DiIkasBrTbARK74U7kv,2018,27259,Te Voy a Amar,2018-03-16,0.3698986329682616,0.59,0.304,0.491,0.765,0.0,0.138,0.8996060407091268,0.021134916039374643,0.43,0.6672100807771713,4,2018-01-01,colombian pop,latin,latin pop,,,,,,,,"colombian pop,latin,latin pop",49Z1AvGeUaBSanPaOmplK6,1473661,0.6767676767676768,3.8731901874477835e-05,colombian pop,pop
1414,Swish Swish,Katy Perry,20141,2018-03-17,2kVHAQKVtczchKctctzbtK,2018,37771,Witness,2017-06-09,0.4315189156061123,0.01,0.0196,0.836,0.716,1.83e-05,0.101,0.8480302035456337,0.04588882455124493,0.534,0.3841225087024207,4,2017-01-01,dance pop,pop,post-teen pop,,,,,,,,"dance pop,pop,post-teen pop",6jJ0s89eD6GaHleKKya26X,16135740,0.8888888888888888,5.366824409189268e-05,dance pop,dance
1415,Chained To The Rhythm,Katy Perry,108277,2017-03-13,6520aj0B4FSKGVuKNsOCOi,2017,4796600,Witness,2017-06-09,0.4192717882703497,0.01,0.0733,0.448,0.8009999999999999,0.0,0.146,0.8430400525279055,0.2052692530399537,0.462,0.8508795959137041,4,2017-01-01,dance pop,pop,post-teen pop,,,,,,,,"dance pop,pop,post-teen pop",6jJ0s89eD6GaHleKKya26X,16135740,0.8888888888888888,0.0113314550386286,dance pop,dance
1416,Bon appétit,Katy Perry,39695,2017-04-28,61WbtB6ujkpNAsAf5LjF4b,2017,76450,Witness,2017-06-09,0.3938518189907403,0.0,0.111,0.797,0.792,7.879999999999999e-05,0.24,0.8300722258699935,0.05428488708743486,0.54,0.2912521463743811,4,2017-01-01,dance pop,pop,post-teen pop,,,,,,,,"dance pop,pop,post-teen pop",6jJ0s89eD6GaHleKKya26X,16135740,0.8888888888888888,0.00018060495719950727,dance pop,dance
1417,Chained To The Rhythm,Katy Perry,76642,2017-05-01,5ndfVSDyPq90jaIUhNPeby,2017,864636,Chained To The Rhythm,2017-02-10,0.4197359277275886,0.0,0.08900000000000001,0.446,0.7929999999999999,0.0,0.211,0.8429743926460932,0.1922408801389693,0.47,0.8515009587695679,4,2017-01-01,dance pop,pop,post-teen pop,,,,,,,,"dance pop,pop,post-teen pop",6jJ0s89eD6GaHleKKya26X,16135740,0.8888888888888888,0.0020426101736187464,dance pop,dance
1418,Bon Appétit,Katy Perry,14900,2017-05-01,14oOKFGuXu8DqvOe1W8vao,2017,270958,Bon Appétit,2017-04-28,0.39249530090853374,0.0,0.115,0.797,0.7909999999999999,6e-05,0.14400000000000002,0.8287261982928431,0.057035321366531576,0.516,0.2912922343005659,4,2017-01-01,dance pop,pop,post-teen pop,,,,,,,,"dance pop,pop,post-teen pop",6jJ0s89eD6GaHleKKya26X,16135740,0.8888888888888888,0.0006401093262637553,dance pop,dance
1419,Chained To The Rhythm,Katy Perry,73200,2017-05-10,5pD9x23lsoQr464mlmaKNJ,2017,73200,Chained To The Rhythm,2017-02-10,0.4197359277275886,0.0,0.073,0.451,0.809,0.0,0.201,0.8442219304005254,0.17052692530399535,0.481,0.8514809148064756,4,2017-01-01,dance pop,pop,post-teen pop,,,,,,,,"dance pop,pop,post-teen pop",6jJ0s89eD6GaHleKKya26X,16135740,0.8888888888888888,0.00017292717942451186,dance pop,dance
1420,Let You Down,NF,19959,2018-03-19,6mrKP2jyIQmM0rw6fQryjr,2018,19959,Perception,2017-10-06,0.3535896443050601,0.07,0.33,0.659,0.716,0.0,0.173,0.8328627708470124,0.1270990156340475,0.4370000000000001,0.5717139592840296,4,2017-01-01,hip hop,pop rap,rap,,,,,,,,"hip hop,pop rap,rap",6fOMl44jA4Sp5b9PpYCkzz,4116674,0.8585858585858586,2.835944200127309e-05,hip hop,hip hop
1421,Stir Fry,Migos,19888,2018-03-19,2UVbBKQOdFAekPTRsnkzcf,2018,19888,Culture II,2018-01-26,0.29760570712030954,0.74,0.00263,0.8170000000000001,0.816,0.0,0.159,0.8417596848325672,0.3558193398957731,0.508,0.7986583907370166,4,2018-01-01,atl hip hop,hip hop,pop rap,rap,southern hip hop,trap,,,,,"atl hip hop,hip hop,pop rap,rap,southern hip hop,trap",6oMuImdp5ZcFhWP0ESe6mG,10746002,0.8484848484848485,2.8258559172369316e-05,atl hip hop,hip hop
1422,Walk It Talk It,Migos,19320,2018-04-02,6n4U3TlzUGhdSFbUUhTvLP,2018,661938,Culture II,2018-01-26,0.5177744897671354,0.78,0.0876,0.907,0.633,2.6e-06,0.106,0.8501969796454367,0.2327735958309207,0.395,0.557676503798331,4,2018-01-01,atl hip hop,hip hop,pop rap,rap,southern hip hop,trap,,,,,"atl hip hop,hip hop,pop rap,rap,southern hip hop,trap",6oMuImdp5ZcFhWP0ESe6mG,10746002,0.8484848484848485,0.0009405377182944391,atl hip hop,hip hop
