,Track Name,Artist,Streams,date,spotify_id,year,Streamstotal,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,release_date_year,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,genre9,genre10,genres_together,artist_id,artist_followers,artist_popularity,Period,streamstotal_weights
318,Hello,KAROL G,20972,2017-01-08,1PGENMzwUy16wlpZiuLS65,2017,976199,Hello,2016-11-04,0.3559654049089439,0.0,0.449,0.8059999999999999,0.82,1.9699999999999998e-05,0.11699999999999999,0.8768569835699996,0.0729442970822281,0.845,0.2556904111329987,4,2016-01-01,latin,reggaeton,reggaeton colombiano,,,,,,,,"latin,reggaeton,reggaeton colombiano",790FomKkXshlbRYZFtlgla,11614405,0.8888888888888888,NormalPeriod,0.002509304472988122
359,Alocao (With Bad Gyal),Omar Montes,271744,2020-01-08,6RyuoOJXNzlVWpfC5xQyeI,2020,14924501,Alocao (With Bad Gyal),2019-10-24,0.3903763268547265,0.7578947368421053,0.214,0.6729999999999999,0.752,1.53e-06,0.106,0.863706424425278,0.06347101174687382,0.6990000000000001,0.7832369574887208,4,2019-01-01,flamenco urbano,trap espanol,,,,,,,,,"flamenco urbano,trap espanol",3lY9Fxceu60W1rbon7PkuF,226823,0.7373737373737373,NormalPeriod,0.012970336440606094
421,Más y Más,Omar Montes,87261,2020-02-21,4i0sSXYpBLMnhHc7jnI5v2,2020,1502492,Más y Más,2020-02-21,0.266686438934785,0.5894736842105263,0.26899999999999996,0.6990000000000001,0.772,0.0,0.039,0.915882333650346,0.4543387646835922,0.429,0.22388002795958567,4,2020-01-01,flamenco urbano,trap espanol,,,,,,,,,"flamenco urbano,trap espanol",3lY9Fxceu60W1rbon7PkuF,226823,0.7373737373737373,NormalPeriod,0.0013057606910488418
439,+,Aitana,268824,2020-01-08,5Cbo7oz78gqkzV3EAM63VA,2020,14007192,+,2019-12-17,0.4144068080383837,0.8,0.106,0.561,0.6659999999999999,0.0,0.12300000000000001,0.8788574426917652,0.01705191360363774,0.675,0.6689457965304696,4,2019-01-01,latin pop,latin talent show,spanish pop,,,,,,,,"latin pop,latin talent show,spanish pop",7eLcDZDYHXZCebtQmVFL25,1135957,0.7676767676767676,NormalPeriod,0.01217313683239166
501,Con La Miel En Los Labios,Aitana,67224,2020-01-08,2QJcrJNa4KGxQ6bw0MH3Zx,2020,3561500,Spoiler,2019-06-07,0.3739350480992313,0.6736842105263158,0.8690000000000001,0.662,0.331,0.0,0.114,0.7441707932968222,0.033156498673740056,0.43200000000000005,0.3751159687360996,3,2019-01-01,latin pop,latin talent show,spanish pop,,,,,,,,"latin pop,latin talent show,spanish pop",7eLcDZDYHXZCebtQmVFL25,1135957,0.7676767676767676,NormalPeriod,0.0030951690266373803
563,Me Quedo,Aitana,64041,2020-01-08,6Nqi1fWKYXrVXmF3RtQbSf,2020,3587017,Spoiler,2019-06-07,0.3069333690509789,0.6842105263157895,0.43200000000000005,0.8240000000000001,0.7140000000000001,0.0,0.442,0.9265733119076508,0.052671466464569903,0.77,0.26871703628391685,4,2019-01-01,latin pop,latin talent show,spanish pop,,,,,,,,"latin pop,latin talent show,spanish pop",7eLcDZDYHXZCebtQmVFL25,1135957,0.7676767676767676,NormalPeriod,0.003117344915463073
625,Vas A Quedarte,Aitana,52344,2020-01-08,0fwIHsKXNEcb57u2um7z9I,2020,2940682,Spoiler,2019-06-07,0.4307811162083168,0.7157894736842105,0.795,0.395,0.508,3.63e-06,0.0627,0.9025022136227988,0.017809776430466082,0.168,0.22311749380441,4,2019-01-01,latin pop,latin talent show,spanish pop,,,,,,,,"latin pop,latin talent show,spanish pop",7eLcDZDYHXZCebtQmVFL25,1135957,0.7676767676767676,NormalPeriod,0.002555638872270129
687,Nada Sale Mal,Aitana,34990,2020-01-08,51ltTOzVJWp3BUHzYrRxEa,2020,337255,Spoiler,2019-06-07,0.3418465703884772,0.6210526315789474,0.282,0.8290000000000001,0.635,5.08e-06,0.0837,0.8399632702587478,0.2061386888973096,0.402,0.5931816737624707,4,2019-01-01,latin pop,latin talent show,spanish pop,,,,,,,,"latin pop,latin talent show,spanish pop",7eLcDZDYHXZCebtQmVFL25,1135957,0.7676767676767676,NormalPeriod,0.00029309595116624727
697,Vas A Quedarte,Aitana,213987,2019-01-08,2b3JxLi8KAiOsD8ehnOxDZ,2019,10216125,Tráiler,2018-11-29,0.4307811162083168,0.6421052631578947,0.795,0.395,0.508,3.63e-06,0.0627,0.9025022136227988,0.017809776430466082,0.168,0.22311749380441,4,2018-01-01,latin pop,latin talent show,spanish pop,,,,,,,,"latin pop,latin talent show,spanish pop",7eLcDZDYHXZCebtQmVFL25,1135957,0.7676767676767676,NormalPeriod,0.011773101211781977
758,TELÉFONO,Aitana,105795,2019-01-08,5h8VHxOBK1VWWj46T8fSly,2019,4229876,TELÉFONO,2018-07-26,0.2802886432237727,0.631578947368421,0.102,0.691,0.8290000000000001,0.000177,0.0698,0.8662643885481914,0.25539977264115193,0.564,0.7461015441316642,4,2018-01-01,latin pop,latin talent show,spanish pop,,,,,,,,"latin pop,latin talent show,spanish pop",7eLcDZDYHXZCebtQmVFL25,1135957,0.7676767676767676,NormalPeriod,0.004874525151296358
