,year_month,feature_media_month,features
0,2017-01-01,0.40556610950142163,length
1,2017-02-01,0.40816609572107343,length
2,2017-03-01,0.4080724223664159,length
3,2017-04-01,0.4072955241157659,length
4,2017-05-01,0.40882141108502235,length
5,2017-06-01,0.40740382866713526,length
6,2017-07-01,0.40194745218897,length
7,2017-08-01,0.39942654268226163,length
8,2017-09-01,0.39686715869799194,length
9,2017-10-01,0.3956695751252777,length
10,2017-11-01,0.39476592581097464,length
11,2017-12-01,0.3892357251268663,length
12,2018-01-01,0.38318233175990546,length
13,2018-02-01,0.37092888522492373,length
14,2018-03-01,0.3758524771153656,length
15,2018-04-01,0.3841071033873794,length
16,2018-05-01,0.3918875269790909,length
17,2018-06-01,0.383367349104996,length
18,2018-07-01,0.38213382538068447,length
19,2018-08-01,0.37996121181909137,length
20,2018-09-01,0.38128067058024323,length
21,2018-10-01,0.37328282563489856,length
22,2018-11-01,0.3746894461681111,length
23,2018-12-01,0.3793310405660774,length
24,2019-01-01,0.3849706869616073,length
25,2019-02-01,0.3847118589805847,length
26,2019-03-01,0.3892519347459097,length
27,2019-04-01,0.3951659901970624,length
28,2019-05-01,0.39988027618931116,length
29,2019-06-01,0.3986606093335174,length
30,2019-07-01,0.3942530390377135,length
31,2019-08-01,0.3972652912586442,length
32,2019-09-01,0.38781647384751267,length
33,2019-10-01,0.38266352258955555,length
34,2019-11-01,0.38008929679841585,length
35,2019-12-01,0.3780153120911805,length
36,2020-01-01,0.37732628194638634,length
37,2020-02-01,0.375641112586141,length
38,2020-03-01,0.3676246948530138,length
39,2020-04-01,0.36979254786879256,length
40,2020-05-01,0.37104677782687345,length
41,2020-06-01,0.3831856037492426,length
42,2020-07-01,0.3810274602872091,length
43,2020-08-01,0.3727439636221323,length
44,2020-09-01,0.37536293250520253,length
45,2020-10-01,0.3680133380219589,length
46,2020-11-01,0.36086469284864287,length
47,2020-12-01,0.35474712371260425,length
0,2017-01-01,0.3894660805172869,popularity
1,2017-02-01,0.3812345342849604,popularity
2,2017-03-01,0.42989294075704265,popularity
3,2017-04-01,0.4148995034209253,popularity
4,2017-05-01,0.31611562619475453,popularity
5,2017-06-01,0.36887752017823705,popularity
6,2017-07-01,0.3598807794410484,popularity
7,2017-08-01,0.35807538326798843,popularity
8,2017-09-01,0.36003769106660466,popularity
9,2017-10-01,0.36173043830904533,popularity
10,2017-11-01,0.38608203766969856,popularity
11,2017-12-01,0.40558262603506695,popularity
12,2018-01-01,0.4024782817403858,popularity
13,2018-02-01,0.36155076926516205,popularity
14,2018-03-01,0.3591756714668125,popularity
15,2018-04-01,0.39827695345966213,popularity
16,2018-05-01,0.47417794516635337,popularity
17,2018-06-01,0.5193510368588067,popularity
18,2018-07-01,0.5408070635720679,popularity
19,2018-08-01,0.5508074772974259,popularity
20,2018-09-01,0.551834943129945,popularity
21,2018-10-01,0.5547403576667778,popularity
22,2018-11-01,0.5783328384939297,popularity
23,2018-12-01,0.5766230521022352,popularity
24,2019-01-01,0.5883937465995348,popularity
25,2019-02-01,0.5941655238757062,popularity
26,2019-03-01,0.580809695661028,popularity
27,2019-04-01,0.5652005870614605,popularity
28,2019-05-01,0.6369833234927489,popularity
29,2019-06-01,0.6583271848050105,popularity
30,2019-07-01,0.6479170750798311,popularity
31,2019-08-01,0.6417775300369796,popularity
32,2019-09-01,0.6334093941540261,popularity
33,2019-10-01,0.6492453769050187,popularity
34,2019-11-01,0.6659251121127228,popularity
35,2019-12-01,0.690999212281849,popularity
36,2020-01-01,0.7016602845927331,popularity
37,2020-02-01,0.7033421410016506,popularity
38,2020-03-01,0.7234606102743477,popularity
39,2020-04-01,0.7187269601508725,popularity
40,2020-05-01,0.7221263142199444,popularity
41,2020-06-01,0.7347178059332129,popularity
42,2020-07-01,0.7458315489423305,popularity
43,2020-08-01,0.7480311482724451,popularity
44,2020-09-01,0.758538063371825,popularity
45,2020-10-01,0.7737879816170188,popularity
46,2020-11-01,0.8046524701928159,popularity
47,2020-12-01,0.8078103980128999,popularity
0,2017-01-01,0.20434394772788433,acousticness
1,2017-02-01,0.2089082100337959,acousticness
2,2017-03-01,0.19830242569430645,acousticness
3,2017-04-01,0.18388569517012898,acousticness
4,2017-05-01,0.18445481057226434,acousticness
5,2017-06-01,0.18073853498754147,acousticness
6,2017-07-01,0.1827747319245694,acousticness
7,2017-08-01,0.18924866571179388,acousticness
8,2017-09-01,0.1931860347652477,acousticness
9,2017-10-01,0.19554060088641229,acousticness
10,2017-11-01,0.2004441436023161,acousticness
11,2017-12-01,0.19986301277686946,acousticness
12,2018-01-01,0.19514804160935234,acousticness
13,2018-02-01,0.21665119432864693,acousticness
14,2018-03-01,0.21416097505879667,acousticness
15,2018-04-01,0.191689462417792,acousticness
16,2018-05-01,0.18776222302796094,acousticness
17,2018-06-01,0.20398823752400003,acousticness
18,2018-07-01,0.2092719327517265,acousticness
19,2018-08-01,0.2147859209549921,acousticness
20,2018-09-01,0.21996578135207046,acousticness
21,2018-10-01,0.23204440991877343,acousticness
22,2018-11-01,0.2727818836313472,acousticness
23,2018-12-01,0.28476460641404855,acousticness
24,2019-01-01,0.27438829476518906,acousticness
25,2019-02-01,0.2733166922637844,acousticness
26,2019-03-01,0.27974079389948364,acousticness
27,2019-04-01,0.28691128792376297,acousticness
28,2019-05-01,0.2623792969878687,acousticness
29,2019-06-01,0.2743389801597479,acousticness
30,2019-07-01,0.25658600927553904,acousticness
31,2019-08-01,0.24244894372429127,acousticness
32,2019-09-01,0.2424253968270313,acousticness
