,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,genre9,genre10,10,genres_together,artist_id,Artist,artist_followers,artist_popularity
164,latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical,,,,,,"latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical",3RtNN1VnooWEn3KQk03DUL,Noriel,4176888,0.78
165,uk hip hop,,,,,,,,,,,uk hip hop,5r3fI2q1YU3QyVP7oncOQ9,The Plug,23931,0.6
166,bedroom pop,indie garage rock,san diego indie,,,,,,,,,"bedroom pop,indie garage rock,san diego indie",3BBCgZVbXFRzcnT1ewVfRt,TEMPOREX,187478,0.58
167,alternative dance,dance-punk,electro house,electroclash,electronica,filter house,french techno,new rave,,,,"alternative dance,dance-punk,electro house,electroclash,electronica,filter house,french techno,new rave",4M84umUNRbZy1mJleyyRM9,Vitalic,226576,0.55
168,latin,perreo,reggaeton,reggaeton flow,trap latino,,,,,,,"latin,perreo,reggaeton,reggaeton flow,trap latino",7lCRuW6BSXGAsxuQV9lR0i,Gigolo Y La Exce,291057,0.68
169,copla,musica aragonesa,pop flamenco,rumba,spanish pop,,,,,,,"copla,musica aragonesa,pop flamenco,rumba,spanish pop",0Zt1X6eSDuttQS3JHIyCvZ,Manolo Escobar,69053,0.51
170,irish pub song,,,,,,,,,,,irish pub song,1qbwKI8FXh805XrxaOex4P,The Clancy Brothers & Tommy Makem,13387,0.31
171,dance pop,edm,electropop,indie poptimism,pop,pop dance,tropical house,,,,,"dance pop,edm,electropop,indie poptimism,pop,pop dance,tropical house",2FwJwEswyIUAljqgjNSHgP,Snakehips,328424,0.69
172,edm,pop,pop dance,tropical house,,,,,,,,"edm,pop,pop dance,tropical house",23fqKkggKUBHNkbKtXEls4,Kygo,7129765,0.87
173,rap espanol,spanish hip hop,urbano espanol,,,,,,,,,"rap espanol,spanish hip hop,urbano espanol",4bWHA8fMNjzfGPQqnh5D6y,Recycled J,131584,0.63
174,r&b en espanol,,,,,,,,,,,r&b en espanol,4zTLrRqcBmj7ZDuLUrKBL1,Yashua,28998,0.4
175,dance rock,new wave,permanent wave,rock,,,,,,,,"dance rock,new wave,permanent wave,rock",7bu3H8JO7d0UbMoVzbo70s,The Cure,2986320,0.78
176,hip hop,pop rap,rap,southern hip hop,trap,,,,,,,"hip hop,pop rap,rap,southern hip hop,trap",6vXTefBL93Dj5IqAWq6OTv,French Montana,3787330,0.81
177,italian adult pop,italian pop,,,,,,,,,,"italian adult pop,italian pop",5lzqFxifzjxYHGJxuwQqtR,Francesco Gabbani,476735,0.56
178,pop flamenco,spanish pop,,,,,,,,,,"pop flamenco,spanish pop",1dbp04JzZ81JXlMGupCnJ8,Antonio José,407920,0.63
179,,,,,,,,,,,,,5fC6b91PeVmbBay5YNNpZo,Gran Coro de Villancicos,5422,0.3
180,australian pop,dance pop,electropop,pop,pop dance,post-teen pop,viral pop,,,,,"australian pop,dance pop,electropop,pop,pop dance,post-teen pop,viral pop",3WGpXCj9YhhfX11TToZcXP,Troye Sivan,5331601,0.8
181,eurovision,finnish idol pop,finnish pop,,,,,,,,,"eurovision,finnish idol pop,finnish pop",2OsS8RgsvMnTgDsbWVzzPn,Saara Aalto,28546,0.41
182,colombian pop,pop reggaeton,,,,,,,,,,"colombian pop,pop reggaeton",2pg3wL9rxgUzpJDYCBTlt1,Nicolas Mayorca,11058,0.44
183,modern rock,,,,,,,,,,,modern rock,6s22t5Y3prQHyaHWUN1R1C,AJR,1614982,0.8
184,,,,,,,,,,,,,3WaTkjZxpbGDryRuQTtj1g,Celia Cruz y La Sonora Matancera,6744,0.19
185,flamenco urbano,,,,,,,,,,,flamenco urbano,0ZiG3Fe4yVcYjUCZHmAzVQ,El Daddy,1558,0.54
186,r&b en espanol,,,,,,,,,,,r&b en espanol,4EiI7Vls0NB16jLuexzCHC,Paula Cendejas,8755,0.48
187,latin,latin hip hop,puerto rican pop,reggaeton,trap latino,tropical,,,,,,"latin,latin hip hop,puerto rican pop,reggaeton,trap latino,tropical",33ScadVnbm2X8kkUqOkC6Z,Don Omar,4963678,0.82
188,melodipop,swedish pop,,,,,,,,,,"melodipop,swedish pop",6TlWqqdj65mppNUHZVkjaq,Victor Crone,11239,0.56
189,latin talent show,,,,,,,,,,,latin talent show,0P9kGWWUX38kvwbqMePLBr,Raoul Vázquez,51443,0.4
190,la pop,women's music,,,,,,,,,,"la pop,women's music",0J7U24vlOOIeMpuaO6Q85A,LP,1957739,0.72
191,latin viral pop,spanish pop,,,,,,,,,,"latin viral pop,spanish pop",0CVOcYvRcSvOXyuR4YGKaC,Dani Fernández,76799,0.62
192,spanish hip hop,urbano espanol,,,,,,,,,,"spanish hip hop,urbano espanol",7Jgen4mkCFqCo4xzlDrMJO,Locoplaya,111568,0.5
193,latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical,,,,,,"latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical",21451j1KhjAiaYKflxBjr1,Zion & Lennox,5040359,0.82
194,permanent wave,pop,,,,,,,,,,"permanent wave,pop",4gzpq5DPGxSnKTe4SA8HAU,Coldplay,28788681,0.89
195,latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical,,,,,,"latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical",12vb80Km0Ew53ABfJOepVz,Ñengo Flow,2286814,0.82
196,sleep,,,,,,,,,,,sleep,1U5zgr455OGyIkLNXvDdrf,Traditional,33221,0.7
197,indie folk,indie pop,stomp and holler,,,,,,,,,"indie folk,indie pop,stomp and holler",6ltzsmQQbmdoHHbLZ4ZN25,Lord Huron,788610,0.74
198,north carolina hip hop,rap,,,,,,,,,,"north carolina hip hop,rap",4r63FhuTkUYltbVAg5TQnk,DaBaby,5712481,0.94
199,french indie pop,french rock,,,,,,,,,,"french indie pop,french rock",50OApTJurDusIo9dGTqSU4,Lilly Wood and The Prick,223033,0.64
200,dance pop,edm,electropop,pop,pop dance,pop edm,post-teen pop,tropical house,,,,"dance pop,edm,electropop,pop,pop dance,pop edm,post-teen pop,tropical house",5jAMCwdNHWr7JThxtMuEyy,NOTD,167967,0.74
201,funk carioca,funk pop,pagode baiano,pop nacional,,,,,,,,"funk carioca,funk pop,pagode baiano,pop nacional",7FNnA9vBm6EKceENgCGRMb,Anitta,10223343,0.84
202,rap espanol,urbano espanol,,,,,,,,,,"rap espanol,urbano espanol",5o7fmoqHl79fzoCzeApdxm,Sticky M.A.,59756,0.57
203,dance pop,pop,,,,,,,,,,"dance pop,pop",6tbjWDEIzxoDsBA1FuhfPW,Madonna,4740835,0.8
204,reggaeton colombiano,,,,,,,,,,,reggaeton colombiano,7a0XAaPaK2aDSqa8p3QnC7,Beéle,206439,0.74
205,electro house,,,,,,,,,,,electro house,7vk5e3vY1uw9plTHJAMwjN,Alan Walker,26683491,0.85
206,dance pop,pop,,,,,,,,,,"dance pop,pop",31TPClRtHm23RisEBtV3X7,Justin Timberlake,10245586,0.84
207,classic soul,funk,motown,northern soul,quiet storm,soul,,,,,,"classic soul,funk,motown,northern soul,quiet storm,soul",3koiLjNrgRTNbOwViDipeA,Marvin Gaye,3813977,0.77
208,rap,slap house,,,,,,,,,,"rap,slap house",0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,14935161,0.94
209,dance pop,pop,pop dance,,,,,,,,,"dance pop,pop,pop dance",3hv9jJF3adDNsBSIQDqcjp,Mark Ronson,884657,0.8
210,adult standards,brill building pop,easy listening,,,,,,,,,"adult standards,brill building pop,easy listening",5v8jlSmAQfrkTjAlpUfWtu,Perry Como,298532,0.7
211,dance pop,edm,house,pop,pop dance,pop rap,post-teen pop,tropical house,uk dance,,,"dance pop,edm,house,pop,pop dance,pop rap,post-teen pop,tropical house,uk dance",4Q6nIcaBED8qUel8bBx6Cr,Jax Jones,860577,0.77
212,australian pop,pop,,,,,,,,,,"australian pop,pop",3QSQFmccmX81fWCUSPTS7y,Dean Lewis,1459415,0.79
213,australian hip hop,dance pop,hip pop,pop,pop dance,pop rap,post-teen pop,,,,,"australian hip hop,dance pop,hip pop,pop,pop dance,pop rap,post-teen pop",5yG7ZAZafVaAlMTeBybKAL,Iggy Azalea,5304318,0.75
214,latin,latin alternative,latin pop,latin rock,rock en espanol,spanish pop,spanish rock,,,,,"latin,latin alternative,latin pop,latin rock,rock en espanol,spanish pop,spanish rock",5B6H1Dq77AV1LZWrbNsuH5,Jarabe De Palo,1020501,0.72
215,urbano espanol,,,,,,,,,,,urbano espanol,6gyhsZUy2fzzWZBRVPmOw4,Soto Asa,46173,0.58
216,,,,,,,,,,,,,1qXtiQoBqjS4RnDbMZOq0w,Trio Nueva Generaciion,6,0.04
217,dance pop,edm,pop dance,tropical house,,,,,,,,"dance pop,edm,pop dance,tropical house",33W1pnW9zScZtYTnAoWnOT,Mr. Probz,304704,0.7
218,bass house,brostep,edm,electro house,electronic trap,house,moombahton,,,,,"bass house,brostep,edm,electro house,electronic trap,house,moombahton",0deIjoDjl9g9Zpw0sCIOHh,Valentino Khan,191727,0.64
219,urbano espanol,,,,,,,,,,,urbano espanol,5UN0rzL594mWY2RbOtZqIN,Ptazeta,37325,0.6
220,latin talent show,latin viral pop,spanish pop,,,,,,,,,"latin talent show,latin viral pop,spanish pop",3E3qsTzCvTX13A1Zrw7Wnf,Miriam Rodríguez,186172,0.48
221,cumbia,latin alternative,pop electronico,,,,,,,,,"cumbia,latin alternative,pop electronico",5n9bMYfz9qss2VOW89EVs2,Bomba Estéreo,841032,0.66
222,chicago rap,melodic rap,,,,,,,,,,"chicago rap,melodic rap",4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,15438737,0.98
223,latin talent show,latin viral pop,,,,,,,,,,"latin talent show,latin viral pop",7bvrxy6IPDgRjUveRwzolV,Hugo Cobo,40372,0.51
224,eurovision,norwegian pop,,,,,,,,,,"eurovision,norwegian pop",2m0y0cDl1US03sYgxv9r6s,JOWST,7865,0.33
225,cantautor,celtic rock,latin alternative,música pitiusa,rock en espanol,spanish new wave,spanish pop,,,,,"cantautor,celtic rock,latin alternative,música pitiusa,rock en espanol,spanish new wave,spanish pop",3hIPQBm8PBt8B5aahP6cVP,Celtas Cortos,167197,0.54
226,spanish hip hop,,,,,,,,,,,spanish hip hop,2mjC7Pmu2NA6dZ1ZIYoLLu,Los Chikos del Maiz,109933,0.53
227,dance pop,edm,electro house,pop,pop dance,progressive electro house,tropical house,,,,,"dance pop,edm,electro house,pop,pop dance,progressive electro house,tropical house",4AVFqumd2ogHFlRbKIjp1t,Alesso,3533652,0.78
228,dance pop,electropop,pop,pop dance,post-teen pop,,,,,,,"dance pop,electropop,pop,pop dance,post-teen pop",64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,6022818,0.83
229,spanish pop,,,,,,,,,,,spanish pop,3bvfu2KAve4lPHrhEFDZna,Lola Indigo,500763,0.73
230,carnaval cadiz,latin pop,pop flamenco,spanish pop,,,,,,,,"carnaval cadiz,latin pop,pop flamenco,spanish pop",7qAoXV4U0qDxQAUqhszjAA,Manuel Carrasco,1552800,0.69
231,adult standards,brill building pop,classic girl group,motown,soul,,,,,,,"adult standards,brill building pop,classic girl group,motown,soul",7CyeXFnOrfC1N6z4naIpgo,The Ronettes,163099,0.72
232,,,,,,,,,,,,,5RSYz1KaYXbHfKdlaxAI8O,DJ Jonathan,1627,0.17
233,dominican pop,urbano espanol,,,,,,,,,,"dominican pop,urbano espanol",4Rzu63KnqMsThOdfkrJk1Z,Lennis Rodriguez,40680,0.56
234,,,,,,,,,,,,,2cxbDuynmf2ZVgONATgTFq,Tropijazz All Stars,167,0.03
235,colombian pop,ecuadorian pop,latin,latin pop,pop reggaeton,reggaeton,reggaeton colombiano,trap latino,tropical,,,"colombian pop,ecuadorian pop,latin,latin pop,pop reggaeton,reggaeton,reggaeton colombiano,trap latino,tropical",2DP9xStkVVv753RBiEHXQB,Alkilados,1466645,0.6
236,australian pop,australian singer-songwriter,lilith,piano rock,,,,,,,,"australian pop,australian singer-songwriter,lilith,piano rock",6sfUgwUTFjy1SNF2uWOcPp,Kate Miller-Heidke,54709,0.47
237,latin pop,puerto rican pop,,,,,,,,,,"latin pop,puerto rican pop",7K78lVZ8XzkjfRSI7570FF,José Feliciano,217030,0.71
238,canadian contemporary r&b,canadian pop,pop,,,,,,,,,"canadian contemporary r&b,canadian pop,pop",1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,28243650,0.96
239,,,,,,,,,,,,,0ZRBa9pTfhhCsJW95F1ugg,Yall,29811,0.52
240,funk carioca,funk paulista,,,,,,,,,,"funk carioca,funk paulista",2W6kbe0nm96COrHzNmfLLd,MC Fioti,1371402,0.63
241,dance pop,hip pop,neo soul,pop r&b,pop rap,r&b,urban contemporary,,,,,"dance pop,hip pop,neo soul,pop r&b,pop rap,r&b,urban contemporary",6lHL3ubAMgSasKjNqKb8HF,Mýa,898236,0.66
242,,,,,,,,,,,,,3WkNzdzs4a3TCGUc58VMXl,Jirafa Rey,4462,0.18
243,dance pop,pop,pop dance,post-teen pop,,,,,,,,"dance pop,pop,pop dance,post-teen pop",6S2OmqARrzebs0tKUEyXyp,Demi Lovato,18873442,0.85
244,colombian pop,latin,latin pop,,,,,,,,,"colombian pop,latin,latin pop",53KTldaJ8tHSkYU3nigfwP,Fonseca,1609270,0.72
245,villancicos,,,,,,,,,,,villancicos,5FVyQoHfSojIRpThj7vpR1,Coral Voces Blancas,1186,0.41
246,flamenco urbano,,,,,,,,,,,flamenco urbano,6Ocjln6CF4WJ5z1GTmGzUH,FlowZeta,4545,0.41
247,dance pop,electropop,girl group,pop,pop dance,post-teen pop,talent show,,,,,"dance pop,electropop,girl group,pop,pop dance,post-teen pop,talent show",1l8Fu6IkuTP0U5QetQJ5Xt,Fifth Harmony,12057278,0.75
248,dance pop,pop,post-teen pop,,,,,,,,,"dance pop,pop,post-teen pop",66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,57174415,0.97
249,adult standards,motown,,,,,,,,,,"adult standards,motown",2iE18Oxc8YSumAU232n4rW,The Jackson 5,1082778,0.74
250,latin pop,latin talent show,spanish pop,,,,,,,,,"latin pop,latin talent show,spanish pop",7eLcDZDYHXZCebtQmVFL25,Aitana,1343115,0.79
251,bachata,latin,latin pop,trap latino,tropical,,,,,,,"bachata,latin,latin pop,trap latino,tropical",3MHaV05u0io8fQbZ2XPtlC,Prince Royce,5976443,0.81
252,spanish hip hop,trap latino,urbano espanol,,,,,,,,,"spanish hip hop,trap latino,urbano espanol",1rTUwYS38LkQTlT2fhikch,Yung Beef,183090,0.65
253,eurovision,french pop,,,,,,,,,,"eurovision,french pop",1tQn5gWbo3ee6n2Z52ogY5,Madame Monsieur,31865,0.5
254,nz pop,pop,,,,,,,,,,"nz pop,pop",0Cp8WN4V8Tu4QJQwCN5Md4,BENEE,571957,0.76
255,colombian hip hop,latin,latin pop,reggaeton,reggaeton colombiano,reggaeton flow,trap latino,tropical,,,,"colombian hip hop,latin,latin pop,reggaeton,reggaeton colombiano,reggaeton flow,trap latino,tropical",1GAymyGBvB4gQy5Z5LZ1Wj,Lalo Ebratt,1075869,0.75
256,electropop,pop,pop rap,,,,,,,,,"electropop,pop,pop rap",5CiGnKThu5ctn9pBxv7DGa,benny blanco,708329,0.84
257,dance pop,pop,post-teen pop,viral pop,,,,,,,,"dance pop,pop,post-teen pop,viral pop",6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,12222058,0.83
258,italian pop,,,,,,,,,,,italian pop,06nvjg4wBANK6DCHjqtPNd,Mahmood,780925,0.66
259,dance pop,pop,pop dance,,,,,,,,,"dance pop,pop,pop dance",1HY2Jd0NmPuamShAr6KMms,Lady Gaga,15929483,0.89
260,eurovision,latin talent show,,,,,,,,,,"eurovision,latin talent show",3Zs59sqZJ6fWQqWbRC8bOP,Natalia Lacunza,158772,0.64
261,latin,perreo,reggaeton,reggaeton flow,trap latino,,,,,,,"latin,perreo,reggaeton,reggaeton flow,trap latino",2QUvtLq6oQaX0LNsYY2fas,Cauty,443400,0.68
262,reggaeton flow,trap brasileiro,,,,,,,,,,"reggaeton flow,trap brasileiro",7ciBW1p3KBsYIkFk4UmwS8,The Rudeboyz,13103,0.55
263,latin,latin pop,puerto rican pop,tropical,,,,,,,,"latin,latin pop,puerto rican pop,tropical",1JbemQ1fPt2YmSLjAFhPBv,Chayanne,4444199,0.74
264,latin,latin hip hop,reggaeton,trap latino,tropical,,,,,,,"latin,latin hip hop,reggaeton,trap latino,tropical",3E6xrwgnVfYCrCs0ePERDz,Wisin,6297164,0.84
265,east coast hip hop,hip hop,pop rap,rap,,,,,,,,"east coast hip hop,hip hop,pop rap,rap",3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,5926979,0.86
266,latin talent show,latin viral pop,,,,,,,,,,"latin talent show,latin viral pop",4jKvQ93sRiKroRRaAI6Fqk,Agoney,73284,0.49
267,musica jibara,puerto rican folk,,,,,,,,,,"musica jibara,puerto rican folk",5TphiK6LsT4X5NOZxq3NJB,Trio Vegabajeño,7896,0.57
268,pop rap,rap,trap,viral trap,,,,,,,,"pop rap,rap,trap,viral trap",7pFeBzX627ff0VnN6bxPR4,Desiigner,3109466,0.71
269,pop,talent show,uk pop,,,,,,,,,"pop,talent show,uk pop",4IWBUUAFIplrNtaOHcJPRM,James Arthur,7402106,0.87
270,electro latino,latin pop,spanish pop,,,,,,,,,"electro latino,latin pop,spanish pop",30HlKUFTsqlFQsPfyv2yuM,Danny Romero,328783,0.61
271,colombian indie,,,,,,,,,,,colombian indie,5GDuUaYx3PW3Wa64KxAAAO,Lao Ra,8296,0.43
272,celtic punk,celtic rock,folk punk,punk,,,,,,,,"celtic punk,celtic rock,folk punk,punk",2wzMOQwNT6ZvVB4amvhFAH,The Pogues,356230,0.68
273,spanish pop,,,,,,,,,,,spanish pop,40Ippe6JeofRURQ4nbF8DT,Taburete,323492,0.66
274,rap espanol,urbano espanol,,,,,,,,,,"rap espanol,urbano espanol",3mvje4iLJHQX3Wr757PSmf,KvndySwing,7289,0.47
275,cumbia pop,,,,,,,,,,,cumbia pop,48R2gYdPKtfnfKAzhSVPUx,Migrantes,56159,0.74
276,dominican pop,latin,latin hip hop,rap dominicano,reggaeton,reggaeton flow,trap latino,tropical,urbano espanol,,,"dominican pop,latin,latin hip hop,rap dominicano,reggaeton,reggaeton flow,trap latino,tropical,urbano espanol",7wU2WGCJ8HxkekHHE2QLul,Fuego,189679,0.65
277,,,,,,,,,,,,,0sYm0ktRaXIcYKdY09N0Cm,ZenAware,2068,0.39
278,latin,latin hip hop,perreo,reggaeton,reggaeton flow,trap latino,tropical,,,,,"latin,latin hip hop,perreo,reggaeton,reggaeton flow,trap latino,tropical",77GVmrLGuxNEvj2ibvT62v,Luigi 21 Plus,690541,0.62
279,,,,,,,,,,,,,6qmvXXOHs5VqH158laNlEH,Trio Alma de América,25,0.0
280,adult standards,easy listening,lounge,,,,,,,,,"adult standards,easy listening,lounge",1Mxqyy3pSjf8kZZL4QVxS0,Frank Sinatra,4504415,0.83
281,art pop,dance pop,electropop,metropopolis,nz pop,pop,pop dance,post-teen pop,,,,"art pop,dance pop,electropop,metropopolis,nz pop,pop,pop dance,post-teen pop",163tK9Wjr9P9DmM0AVK7lm,Lorde,7079574,0.81
282,contemporary country,deep talent show,,,,,,,,,,"contemporary country,deep talent show",4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,1306450,0.92
283,latin,,,,,,,,,,,latin,3f4OfcNtgL9MLgiyOdIHC7,JENCARLOS,164079,0.57
284,latin,latin pop,puerto rican pop,,,,,,,,,"latin,latin pop,puerto rican pop",264nbMzGPSkDZqTY8nXwCG,Tommy Torres,706309,0.66
285,,,,,,,,,,,,,7vnithGAUscrk9Imtyr6Sd,Chris Andrew,1575,0.49
286,trap dominicano,,,,,,,,,,,trap dominicano,16ZQZS3ZH1cXixotWa5LwC,Eklectico,1036,0.4
287,mexican edm,perreo,,,,,,,,,,"mexican edm,perreo",4irQCuA0Tlt4vyXvfcuz2p,DJ Cobra Monterrey,77597,0.5
288,south african house,,,,,,,,,,,south african house,523y9KSneKh6APd1hKxLuF,Master KG,169456,0.73
289,dominican pop,tropical,,,,,,,,,,"dominican pop,tropical",5RzT7CM6Ot0sh0EHefMicV,Maffio,11268,0.6
290,latin,latin pop,puerto rican pop,,,,,,,,,"latin,latin pop,puerto rican pop",4QVBYiagIaa6ZGSPMbybpy,Pedro Capó,1306420,0.76
291,reggaeton,reggaeton flow,trap latino,,,,,,,,,"reggaeton,reggaeton flow,trap latino",3HH6yOn1yJNZo3RY5zEfy5,Javiielo,102657,0.63
292,mexican hip hop,r&b en espanol,urbano espanol,,,,,,,,,"mexican hip hop,r&b en espanol,urbano espanol",1Ixof0imwzqpuV21Ug9pKn,Choclock,43131,0.52
293,boy band,latin,latin pop,reggaeton,trap latino,tropical,,,,,,"boy band,latin,latin pop,reggaeton,trap latino,tropical",0eecdvMrqBftK0M1VKhaF4,CNCO,7284078,0.76
294,urbano espanol,,,,,,,,,,,urbano espanol,5Ypafuz95Xk09YDf4tgAvU,Ayax y Prok,417702,0.67
295,trap argentino,trap latino,trap triste,,,,,,,,,"trap argentino,trap latino,trap triste",0dUyjgCyjfj5eMx6bX2TWf,FMK,357749,0.64
296,villancicos,,,,,,,,,,,villancicos,6ZatFGJqmD3JS6Ro5EafJ2,Coro Juvenil de Campanileros Raya Real,186,0.41
297,granada indie,indie catala,indie rock,latin rock,rock andaluz,spanish indie pop,spanish modern rock,spanish noise pop,,,,"granada indie,indie catala,indie rock,latin rock,rock andaluz,spanish indie pop,spanish modern rock,spanish noise pop",0N1TIXCk9Q9JbEPXQDclEL,Los Planetas,128515,0.52
298,cantautor,spanish pop,spanish rock,,,,,,,,,"cantautor,spanish pop,spanish rock",1AaN24tRzIpDKK54IRtdIe,Andrés Suárez,120468,0.62
299,flamenco urbano,trap latino,urbano espanol,,,,,,,,,"flamenco urbano,trap latino,urbano espanol",2CCgb0KApjfQDuTppovpf8,Rvfv,150223,0.71
300,latin viral pop,spanish pop,,,,,,,,,,"latin viral pop,spanish pop",3IJtdFn9IKbFvNvZqOJA46,Blas Cantó,186695,0.57
301,latin arena pop,latin viral pop,mexican pop,,,,,,,,,"latin arena pop,latin viral pop,mexican pop",3mOd9j63D2DAPnOzQBJhQJ,CD9,641864,0.52
302,dance pop,electropop,pop,pop dance,post-teen pop,,,,,,,"dance pop,electropop,pop,pop dance,post-teen pop",6LqNN22kT3074XbTVUrhzX,Kesha,6093340,0.81
303,edm,electro house,gaming edm,pop dance,pop edm,progressive electro house,tropical house,,,,,"edm,electro house,gaming edm,pop dance,pop edm,progressive electro house,tropical house",0daugAjUgbJSqdlyYNwIbT,Vicetone,355793,0.72
304,rap conciencia,rap espanol,spanish hip hop,,,,,,,,,"rap conciencia,rap espanol,spanish hip hop",2SNfNJDsahTSVFwgxposF5,Soge Culebra,184590,0.54
305,latin talent show,latin viral pop,musica catalana,,,,,,,,,"latin talent show,latin viral pop,musica catalana",0C9gVXUdCpRrYWKBxdLw4n,Joan Garrido,9674,0.34
306,melodic rap,rap,trap,,,,,,,,,"melodic rap,rap,trap",757aE44tKEUQEqRuT6GnEB,Roddy Ricch,5396748,0.89
307,spanish new wave,spanish pop,spanish synthpop,,,,,,,,,"spanish new wave,spanish pop,spanish synthpop",2mDlFcPtgXtLF1gEshEInh,Alaska Y Dinarama,155727,0.58
308,latin,reggaeton,reggaeton flow,trap latino,,,,,,,,"latin,reggaeton,reggaeton flow,trap latino",0BqURncJM5B1BBu7UM51eq,Guaynaa,587334,0.83
309,flamenco urbano,,,,,,,,,,,flamenco urbano,2fe5YD0v1HzDeACkHSPAXG,El Greco,4615,0.49
310,latin arena pop,latin pop,latin viral pop,,,,,,,,,"latin arena pop,latin pop,latin viral pop",3W50twtHMESiHoOf2wHgfw,Gemeliers,141011,0.42
311,conscious hip hop,hip hop,rap,west coast rap,,,,,,,,"conscious hip hop,hip hop,rap,west coast rap",2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,16363566,0.89
312,dance pop,edm,electro house,pop dance,tropical house,,,,,,,"dance pop,edm,electro house,pop dance,tropical house",77AiFEVeAVj2ORpC85QVJs,Steve Aoki,3498997,0.8
313,argentine hip hop,trap argentino,trap latino,,,,,,,,,"argentine hip hop,trap argentino,trap latino",2x7PC78TmgqpEIjaGAZ0Oz,Trueno,1702781,0.75
314,cantautor,latin rock,rock alternativo espanol,spanish indie pop,spanish rock,,,,,,,"cantautor,latin rock,rock alternativo espanol,spanish indie pop,spanish rock",6J6yx1t3nwIDyPXk5xa7O8,Vetusta Morla,568395,0.65
315,cubaton,,,,,,,,,,,cubaton,37G8DfNgO4mQ3PKh5droSo,"Osmani Garcia ""La Voz""",103655,0.53
316,tropical house,,,,,,,,,,,tropical house,1lmU3giNF3CSbkVSQmLpHQ,Surf Mesa,112445,0.75
317,latin,latin arena pop,latin pop,spanish pop,spanish pop rock,,,,,,,"latin,latin arena pop,latin pop,spanish pop,spanish pop rock",2tY2GFdhH0Wa2VBvsxew5X,Alex Ubago,1376822,0.66
318,dominican pop,,,,,,,,,,,dominican pop,5AmJYBIvICxss43P05MkU8,La Ross Maria,84941,0.64
319,dance rock,new romantic,new wave,permanent wave,synthpop,,,,,,,"dance rock,new romantic,new wave,permanent wave,synthpop",762310PdDnwsDxAQxzQkfX,Depeche Mode,3643689,0.77
320,musical advocacy,,,,,,,,,,,musical advocacy,7sF6m3PpW6G6m6J2gzzmzM,U.S.A. For Africa,17652,0.56
321,dembow,dominican pop,latin,rap dominicano,trap latino,,,,,,,"dembow,dominican pop,latin,rap dominicano,trap latino",4VVEpEhC8NcR7AqNEds42U,Chimbala,257600,0.67
322,aussietronica,dance pop,pop dance,tropical house,,,,,,,,"aussietronica,dance pop,pop dance,tropical house",02A3cEvlLLCbIMVDrK2GHV,Starley,122399,0.62
323,,,,,,,,,,,,,1DD8UrtrUxPyiRq6uIbXtn,Colette Blanche,48,0.43
324,bolero,latin,latin pop,ranchera,,,,,,,,"bolero,latin,latin pop,ranchera",2Cy7KBSkqu7otJfuMTWT7Y,Camilo Sesto,1925293,0.68
325,chicago rap,rap,,,,,,,,,,"chicago rap,rap",5K4W6rqBFWDnAN6FQUkS6x,Kanye West,13215012,0.92
326,villancicos,,,,,,,,,,,villancicos,26nND4GxrScoR4TkJBOmR1,Coro de Niños,333,0.27
327,classic rock,glam rock,rock,,,,,,,,,"classic rock,glam rock,rock",1dfeR4HaWDbWqFHLkxsg1d,Queen,31823819,0.89
328,dance pop,latin,latin pop,mexican pop,pop,,,,,,,"dance pop,latin,latin pop,mexican pop,pop",0haZhu4fFKt0Ag94kZDiz2,Sofia Reyes,1829346,0.72
329,boy band,dance pop,pop,post-teen pop,,,,,,,,"boy band,dance pop,pop,post-teen pop",7gAppWoH7pcYmphCVTXkzs,The Vamps,4179223,0.76
330,colombian pop,latin,latin pop,reggaeton,reggaeton colombiano,trap latino,,,,,,"colombian pop,latin,latin pop,reggaeton,reggaeton colombiano,trap latino",4bw2Am3p9ji3mYsXNXtQcd,Piso 21,6574817,0.81
331,,,,,,,,,,,,,5wdayFWknwbwWxjsSE0jSz,Honduras Artists Various,43,0.17
332,dance pop,latin,latin pop,mexican pop,,,,,,,,"dance pop,latin,latin pop,mexican pop",23wEWD21D4TPYiJugoXmYb,Thalia,3104898,0.75
333,electro latino,latin,latin hip hop,reggaeton,trap latino,tropical,,,,,,"electro latino,latin,latin hip hop,reggaeton,trap latino,tropical",1wZtkThiXbVNtj6hee6dz9,Wisin & Yandel,4214636,0.82
