,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,genre9,genre10,10,genres_together,artist_id,Artist,artist_followers,artist_popularity
37,latin arena pop,latin pop,musica canaria,rock en espanol,spanish pop,,,,,,,"latin arena pop,latin pop,musica canaria,rock en espanol,spanish pop",6CSa1r92LtHHdLG6kRabU3,Efecto Pasillo,356949,0.61
38,portuguese pop,,,,,,,,,,,portuguese pop,4mgrIhoYnm5QMXkDHhPaDJ,Cláudia Pascoal,6406,0.34
39,acoustic pop,neo mellow,pop,pop rock,,,,,,,,"acoustic pop,neo mellow,pop,pop rock",4phGZZrJZRo4ElhRtViYdl,Jason Mraz,5806040,0.79
40,hip hop,pop rap,rap,,,,,,,,,"hip hop,pop rap,rap",6fOMl44jA4Sp5b9PpYCkzz,NF,4841765,0.85
41,moroccan pop,,,,,,,,,,,moroccan pop,6O9WquDfQTxGRZqZUXVEQx,RedOne,44040,0.52
42,dance pop,pop,pop dance,post-teen pop,,,,,,,,"dance pop,pop,pop dance,post-teen pop",1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera,5832214,0.82
43,latin pop,pop argentino,,,,,,,,,,"latin pop,pop argentino",7vXDAI8JwjW531ouMGbfcp,TINI,2264188,0.77
44,alternative r&b,pop,,,,,,,,,,"alternative r&b,pop",6LuN9FCkKOj5PcnpouEgny,Khalid,13334122,0.91
45,colombian pop,reggaeton colombiano,,,,,,,,,,"colombian pop,reggaeton colombiano",28gNT5KBp7IjEOQoevXf9N,Camilo,6622927,0.91
46,dance pop,pop,r&b,urban contemporary,,,,,,,,"dance pop,pop,r&b,urban contemporary",4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,6304463,0.84
47,latin arena pop,latin pop,spanish pop,,,,,,,,,"latin arena pop,latin pop,spanish pop",4cA5JN7tiNZ8afYeuSQj5h,David Otero,126796,0.63
48,,,,,,,,,,,,,5N3YDBGT2gUzXgLDTwPRi5,Álvaro De Luna,9178,0.63
49,latin,latin arena pop,latin pop,latin rock,mexican pop,mexican rock,rock en espanol,,,,,"latin,latin arena pop,latin pop,latin rock,mexican pop,mexican rock,rock en espanol",7okwEbXzyT2VffBmyQBWLz,Maná,6129667,0.79
50,latin,latin arena pop,latin pop,mexican pop,,,,,,,,"latin,latin arena pop,latin pop,mexican pop",39yVoqm6sYFvvqF1RciUVf,Carlos Rivera,2301731,0.79
51,atl hip hop,hip hop,pop rap,rap,,,,,,,,"atl hip hop,hip hop,pop rap,rap",73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,7395854,0.81
52,melodic rap,rap,trap,,,,,,,,,"melodic rap,rap,trap",4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,3298671,0.81
53,rap latina,urbano espanol,,,,,,,,,,"rap latina,urbano espanol",1jB62pOe5WpGiHOBDtKBBG,La Zowi,85173,0.55
54,latin viral pop,spanish pop,,,,,,,,,,"latin viral pop,spanish pop",6akDfyocmsREgR5eUXZt3I,Bely Basarte,131197,0.56
55,eurovision,greek pop,laiko,,,,,,,,,"eurovision,greek pop,laiko",0VGybH10ziMPo99SYOwMoQ,Tamta,41269,0.51
56,latin,latin hip hop,perreo,reggaeton,reggaeton flow,trap latino,tropical,,,,,"latin,latin hip hop,perreo,reggaeton,reggaeton flow,trap latino,tropical",6ieK9Ddas29reReO60on3o,"Gotay ""El Autentiko""",360148,0.61
