,name,artist,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,spotify_id,release_date_year
23,Siempre Papi Nunca Inpapi,J Balvin,Siempre Papi Nunca Inpapi,2019-04-06,0.3717529587111198,0.5263157894736842,0.036,0.797,0.744,0.000349,0.0662,0.7776556316351529,0.12440725244072526,0.722,0.44306208366137556,4,2N8qVDq1MI0wKHngJMLlbZ,2019
24,Hitboy,Duki,Hitboy,2019-06-05,0.313978246597704,0.5894736842105263,0.153,0.812,0.633,0.0,0.122,0.7667881148313337,0.1492329149232915,0.616,0.7071993286723836,4,624AL3EwsrgGIp6bdwmXgo,2019
25,Perreo Pesau',Rauw Alejandro,Afrodisíaco,2020-11-13,0.4943908692489221,0.7578947368421053,0.195,0.732,0.679,5.2e-06,0.651,0.8786355926879829,0.1882845188284519,0.443,0.8103405196188896,4,5bQ9rtAfOUbPmuxjPK8zDp,2020
26,11 RAZONES,Aitana,11 RAZONES,2020-12-10,0.389332227328377,0.6842105263157895,0.00599,0.55,0.874,0.0,0.214,0.8513411646460205,0.0708507670850767,0.348,0.7826388266852727,4,4qEHMJyER7OntYTtPsIT1W,2020
27,Donde estás (feat. Justin Quiles),Nyno Vargas,Donde estás (Justin Quiles),2018-03-02,0.37310367465710886,0.4105263157894737,0.397,0.692,0.812,3.77e-06,0.208,0.793894088824675,0.22454672245467225,0.806,0.8482677013157832,4,2zmAPYGDRkkYUsddqi4lcT,2018
28,No Te Hagas,Jory Boy,No Te Hagas,2017-03-11,0.43384818751219856,0.7052631578947368,0.0353,0.748,0.69,0.0,0.315,0.855267290658961,0.06652719665271967,0.433,0.6221660687262219,4,5hKjEpYrJIJs6uPl7zw6Y6,2017
29,Relación,Sech,Relación,2020-04-02,0.32517876470483864,0.25263157894736843,0.125,0.805,0.562,4.96e-06,0.148,0.8770965512909102,0.14644351464435146,0.767,0.8113163961398662,4,4lMOQR1rRW5hJgJXOtKraL,2020
30,Hola,Zion & Lennox,Hola,2018-08-31,0.4056539328235064,0.5684210526315789,0.069,0.81,0.789,0.00103,0.0638,0.8164457566430052,0.055788005578800565,0.856,0.44326951635182477,4,2dYJKHEqAUTCk2U9zntaS1,2018
31,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",Bruce Springsteen,"Santa Claus Is Comin' to Town (Live at C.W. Post College, Greenvale, NY - December 1975)",1981,0.5100338898844905,0.7473684210526316,0.362,0.357,0.668,1.37e-06,0.727,0.7097807651234374,0.06680613668061366,0.407,0.6599471046639355,4,6s2wpWPFPAgKg2LXxi1Oee,1981
32,El Problema,Maikel Delacalle,Calle Y Fe,2018-10-18,0.314612572969712,0.3684210526315789,0.218,0.7,0.752,4.7e-05,0.114,0.8162258935862806,0.08451882845188285,0.691,0.4476208884719282,4,429MKkfF7ebFCAnAMUTdXU,2018
33,"1, 2, 3 - Operación Triunfo 2018",Famous Oberogo,"1, 2, 3 (Operación Triunfo 2018)",2018-10-31,0.2555093241540836,0.15789473684210525,0.177,0.777,0.7,0.0,0.0545,0.8279728626169985,0.08549511854951186,0.849,0.4477246048171528,4,4U4ipnEqTqhvXOWR12lUVO,2018
34,Options (feat. Stephen Marley),Pitbull,Climate Change,2017-03-17,0.4482868752107028,0.5368421052631579,0.0541,0.744,0.574,0.0,0.303,0.7893711916577675,0.21617852161785217,0.518,0.6547895736786773,4,1B0DvDgNgvmccdfdEK4wB5,2017
35,Trendy,Rvfv,Trendy,2020-07-24,0.32364839688425984,0.6631578947368421,0.535,0.732,0.748,0.000299,0.18,0.8512783466298135,0.3389121338912134,0.418,0.47537443957815734,4,6KS9MjBx9PnEetb0XUqGv6,2020
36,Driving Home for Christmas,Chris Rea,The Works,2007-11-10,0.44929159495377846,0.7684210526315789,0.328,0.497,0.661,0.000317,0.211,0.6908411332370124,0.05034867503486751,0.894,0.8496490144590014,4,3Z3QhZAZpqwZa1phsbQ3JZ,2007
37,Te lo Digo a Ti,Vetusta Morla,"Mismo Sitio, Distinto Lugar",2017-11-09,0.2427584769069714,0.4421052631578947,0.0317,0.589,0.767,0.00914,0.0773,0.7943338149381243,0.08228730822873082,0.223,0.47132950211439917,4,55ZjGMNSwRti3ZaIiI0OiN,2017
38,Ronca,Myke Towers,Easy Money Baby,2020-01-24,0.24861379726396848,0.6421052631578947,0.28,0.812,0.595,0.0,0.176,0.7715308750549658,0.18549511854951187,0.528,0.42431771145169883,4,0WxhO7pvOWqFJRMBQ3q3B2,2020
39,#Idiota,Juan Magán,#Idiota,2018-06-01,0.3244446317358363,0.4421052631578947,0.0384,0.704,0.69,0.00016,0.133,0.8354167975375338,0.03947001394700139,0.522,0.4808101189437905,4,5K76snkgJAafrEjyjQFdHx,2018
40,DDU-DU DDU-DU,BLACKPINK,SQUARE UP,2018-06-15,0.3808508845082418,0.6105263157894737,0.0313,0.671,0.859,0.0,0.267,0.8518122997675733,0.11617852161785217,0.39,0.6596878138008742,4,7b8YOVV5quZcSKEijDgyWB,2018
41,Gan-Ga,Bryant Myers,Gan-Ga,2019-07-26,0.3483472027537749,0.11578947368421053,0.227,0.856,0.523,0.0,0.0895,0.7394308687731642,0.5857740585774058,0.378,0.42387927417415866,4,2J3jxgfp6GWoBsMPIa20oC,2019
42,Too Late,The Weeknd,After Hours,2020-03-20,0.44875929310314233,0.7473684210526316,0.052,0.638,0.863,5.46e-05,0.685,0.8110119982410956,0.18410041841004185,0.226,0.5660885266150285,4,2K9Ovn1o2bTGqbsABGC6m3,2020
43,Mad Love,Sean Paul,Mad Love The Prequel,2018-06-29,0.35997799819017373,0.6736842105263158,0.006,0.793,0.824,3.29e-06,0.169,0.8658207173817452,0.24686192468619247,0.611,0.4620987473894125,4,4dSoDnmR9opAQ8KxUc9SbC,2018
44,LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,DAMN.,2017-04-14,0.4207846129278376,0.7368421052631579,0.0265,0.658,0.535,0.0,0.2,0.6928513097556379,0.07991631799163179,0.419,0.5218063615834657,4,6SwRhMLwNqEi6alNPVG00n,2017
45,La Cintura (feat. Flo Rida & TINI) - Remix,Alvaro Soler,La Cintura (Remix),2018-07-26,0.3108487553008393,0.0,0.0351,0.681,0.84,0.0,0.398,0.8400967397449588,0.1785216178521618,0.722,0.4717019380813419,4,56gH0zGe3SP9SGNoQ2pWwn,2018
46,Nos Fuimos Lejos (feat. El Micha),Descemer Bueno,Nos Fuimos Lejos (feat. El Micha),2018-04-06,0.3808597562057524,0.5368421052631579,0.162,0.755,0.88,1.32e-05,0.132,0.880677178214712,0.08437935843793584,0.812,0.44325537321383957,4,7yfha8TaN0DVNGp180Z5Zr,2018
47,No Termino,Morat,No Termino,2020-03-06,0.44843325821962776,0.6631578947368421,0.0443,0.702,0.749,0.0,0.0839,0.8574345122181042,0.045746164574616464,0.817,0.6504900597311861,4,3YjguG5v9vS5o8Cnciy76z,2020
48,LA NOCHE DE ANOCHE,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,0.3671995599638035,0.9789473684210527,0.0303,0.856,0.618,0.0,0.0866,0.821345561907155,0.398884239888424,0.391,0.38654610427264197,4,2XIc1pqjXV3Cr2BQUGNBck,2020
49,Better,ZAYN,Better,2020-09-25,0.30358061711527884,0.8,0.353,0.637,0.418,0.0,0.131,0.7508323387147434,0.4198047419804742,0.0807,0.39739860548659467,4,1dLXLETYiZohIZWnse4ypG,2020
50,Morado,J Balvin,Morado,2020-01-09,0.3615793395908373,0.7789473684210526,0.137,0.881,0.696,4.13e-05,0.0927,0.8544506564482693,0.1111576011157601,0.781,0.45730422361244033,4,3mQ6SLdxxaL52Yte7KF2Ks,2020
51,Soy de Volar,Dvicio,Soy de Volar,2020-09-25,0.4383638815450948,0.7052631578947368,0.478,0.753,0.474,0.0,0.107,0.7528111062252655,0.061645746164574626,0.751,0.47133893087305595,4,6cWKFEOVJvtQQ3B1tiT0tr,2020
52,Aunque Me Duelas,Chema Rivas,Aunque Me Duelas,2020-10-30,0.3129713089302507,0.5052631578947369,0.0452,0.588,0.773,0.0,0.489,0.7897795087631133,0.3751743375174338,0.571,0.9046469637039936,4,5ndhxeC4EU0PAjAxyqtDUD,2020
53,Expertos,Leiva,Nuclear,2019-03-22,0.45226804946858534,0.4631578947368421,0.000735,0.546,0.775,1.59e-06,0.0791,0.8096614108926441,0.04839609483960949,0.509,0.5936487881687936,4,2a2MWHc7gtuecUWU9WIasb,2019
54,PRESO - Cap.6: Clausura,ROSALÍA,El Mal Querer,2018-11-02,0.00676466935183378,0.5052631578947369,0.79,0.559,0.291,0.00308,0.0994,0.38466612224385954,0.09511854951185494,0.359,0.36085273693291914,3,1Yaw3jxKlBUXkfIo2FHG2M,2018
55,Bill Murray,IZAL,Autoterapia,2018-03-09,0.6714632977873987,0.5052631578947369,0.173,0.55,0.697,0.0,0.0764,0.776336453294805,0.05369595536959554,0.337,0.4447686889782526,4,1hzT6QSmg5phzqL2oz3QQ9,2018
56,Sí o no (feat. Maluma),Anitta,Sí o no (feat. Maluma),2016-12-09,0.37559662165758795,0.4631578947368421,0.478,0.789,0.838,3.96e-06,0.117,0.8242665996607828,0.10153417015341702,0.862,0.46678484044183166,4,7JfI90Vt06LckEy3yRtERi,2016
57,Heavy,Anne-Marie,Heavy,2017-09-22,0.2999276956652886,0.45263157894736844,0.283,0.461,0.583,0.0,0.112,0.831113763427351,0.11352859135285914,0.497,0.6271633108143149,5,2X8GwyuNBiOJKLCLNaefOT,2017
