Position,Track Name,Artist,Streams,date,region,spotify_id
1,Chantaje (feat. Maluma),Shakira,189721,2017-01-01,es,6mICuAdrwEjh6Y6lroV2Kg
2,Reggaetón Lento (Bailemos),CNCO,165291,2017-01-01,es,3AEZUABDXNtecAOSC1qTfo
3,Safari,J Balvin,141575,2017-01-01,es,6rQSrBHf7HlZjtcMZ4S4bO
4,Vente Pa' Ca (feat. Maluma),Ricky Martin,119865,2017-01-01,es,7DM4BPaS7uofFul3ywMe46
5,La Bicicleta,Carlos Vives,119181,2017-01-01,es,0sXvAOmXgjR2QUqLK1MltU
6,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,113411,2017-01-01,es,5knuzwU65gJK7IF5yJsuaW
7,Traicionera,Sebastian Yatra,102619,2017-01-01,es,5J1c3M4EldCfNxXwrwt8mT
8,Gyal You A Party Animal - Remix,Charly Black,96304,2017-01-01,es,1AkTW13ysu0AJrwuM6UY0I
9,Otra vez (feat. J Balvin),Zion & Lennox,95084,2017-01-01,es,3QwBODjSEzelZyVjxPOHdq
10,24K Magic,Bruno Mars,82569,2017-01-01,es,6b8Be6ljOzmkOmFslEb23P
11,Let Me Love You,DJ Snake,82461,2017-01-01,es,4pdPtRcBmOSQDlJ3Fk945m
12,Hasta Que Se Seque el Malecón (feat. Farruko) - Remix,Jacob Forever,81751,2017-01-01,es,6sMPwcpYtxm1mlgYbp1B0t
13,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,79665,2017-01-01,es,6stYbAJgTszHAHZMPxWWCY
14,Starboy,The Weeknd,75009,2017-01-01,es,5aAx2yezTd8zXrkmtKl66Z
15,Vacaciones,Wisin,74049,2017-01-01,es,3dQDid3IUNhZy1OehIfYfE
16,DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,73331,2017-01-01,es,6YZdkObH88npeKrrkb8Ggf
17,Borro Cassette,Maluma,72274,2017-01-01,es,6DUdDIRgLqCGq1DwkNWQTN
18,Closer,The Chainsmokers,71346,2017-01-01,es,7BKLCZ1jbUBVqRi2FVlTVw
19,Manicomio,Cosculluela,68647,2017-01-01,es,3n58u3LOFw8mITLvfPvQBz
20,Cómo Te Atreves,Morat,67176,2017-01-01,es,2z0EshEO4XptiepEb9j3Og
21,Don't Wanna Know,Maroon 5,64938,2017-01-01,es,5MFzQMkrl1FOOng9tq6R9r
22,Quiero Que Sepas,Juan Magán,62687,2017-01-01,es,0fm7fJ4aZv6Wx0klIcyXPz
23,Deja Que Te Bese,Alejandro Sanz,62035,2017-01-01,es,0s6yB0ZFl1LvYHAnGhXFga
24,Bailame Despacio,Xantos,60527,2017-01-01,es,4OaTpLJIa2harufGxfOPUu
25,Fuego,Juanes,60178,2017-01-01,es,0mwPE0lPOgnWf2bo14xedJ
26,In the Name of Love,Martin Garrix,59710,2017-01-01,es,04DwTuZ2VBdJCCC5TROn7L
27,One Dance,Drake,59440,2017-01-01,es,1xznGGDReH1oQq0xzbwXa3
28,Dile Que Tu Me Quieres,Ozuna,58331,2017-01-01,es,20ZAJdsKB5IGbGj4ilRt2o
29,Te Quiero Pa´Mi,Don Omar,55670,2017-01-01,es,3BY2mafsbsoKGqS380Xnuz
30,Andas En Mi Cabeza,Chino & Nacho,55549,2017-01-01,es,5mey7CLLuFToM2P68Qu1gF
31,Shaky Shaky,Daddy Yankee,55356,2017-01-01,es,58IL315gMSTD37DOZPJ2hf
32,Cold Water (feat. Justin Bieber & MØ),Major Lazer,54598,2017-01-01,es,6DNtNfH8hXkqOX1sjqmI7p
33,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,53477,2017-01-01,es,6JV2JOEocMgcZxYSZelKcc
34,Antes Que No,David Bisbal,52946,2017-01-01,es,4Iy644j0PpHssDJ33tXbIS
35,Desde Que Estamos Juntos,Melendi,52423,2017-01-01,es,66VmioeXL4i1TCfHIO8R9t
36,My Way,Calvin Harris,51359,2017-01-01,es,1vvNmPOiUuyCbgWmtc6yfm
37,Ya Me Enteré (feat. Nicky Jam) - Urban Version,Reik,51083,2017-01-01,es,2SSYqDX8KTgy01NlqtUo0F
38,Heathens,Twenty One Pilots,50965,2017-01-01,es,6i0V12jOa3mr6uu4WYhUBr
39,Bobo,J Balvin,50479,2017-01-01,es,7AtlMCIauSQZqiXSlbBPW6
40,Side To Side,Ariana Grande,48570,2017-01-01,es,4pLwZjInHj3SimIyN9SnOz
41,El Perdedor (feat. Yandel) - The Remix,Maluma,48058,2017-01-01,es,4QsPTKvdpgkA7mBAvclZTa
42,Cheap Thrills,Sia,47505,2017-01-01,es,27SdWb2rFzO6GWiYDBTD9j
43,Don't Let Me Down (feat. Daya),The Chainsmokers,47074,2017-01-01,es,0QsvXIfqM0zZoerQfsI9lm
44,Amor y dolor,Carlos Baute,45332,2017-01-01,es,4efQTJSX6Jca1hHZNi74Zd
45,Perfect Strangers,Jonas Blue,45247,2017-01-01,es,5bZtRlMBU76vHuDOb1GM5u
46,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,44357,2017-01-01,es,68EMU2RD1ECNeOeJ5qAXCV
47,Say You Won't Let Go,James Arthur,43434,2017-01-01,es,5uCax9HTNlzGybIStD3vDh
48,Treat You Better,Shawn Mendes,42425,2017-01-01,es,4Hf7WnR761jpxPr5D46Bcd
49,Me llamas (feat. Maluma) - Remix,Piso 21,40315,2017-01-01,es,5hEM0JchdVzQ5PwvSfITeX
50,La Gozadera (feat. Marc Anthony),Gente De Zona,40159,2017-01-01,es,0OMRAvrtLWE2TvcXorRiB9
51,The Greatest,Sia,39532,2017-01-01,es,6bLopGnirdrilrpdVB6Um1
52,I Feel It Coming,The Weeknd,35106,2017-01-01,es,5GXAXm5YOmYT0kL5jHvYBt
53,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Maluma,34098,2017-01-01,es,0JoHqmlqE0W0i9prt6kcHR
54,Baila Conmigo,Juan Magán,32772,2017-01-01,es,772io14jrMTxGJbijtDccQ
55,All I Want for Christmas Is You,Mariah Carey,31940,2017-01-01,es,0bYg9bo50gSsH3LtXe2SQn
56,Sofia,Alvaro Soler,31212,2017-01-01,es,1VoHrSS3QQ6TbpabLrFiYb
57,Traicionera - Remix,Sebastian Yatra,30805,2017-01-01,es,2webQDZmtGioeu3zUUi9We
58,Black Beatles,Rae Sremmurd,28995,2017-01-01,es,6fujklziTHa8uoM5OQSfIo
59,Ain't Your Mama,Jennifer Lopez,27862,2017-01-01,es,2hgzdQdnfWwtdpZbhZlV72
60,Hasta el Amanecer,Nicky Jam,26988,2017-01-01,es,5Fim1gaXBgsiFfsQAfQSDS
