,year,mean_pon_danceability,mean_pon_length
0,2017,0.7046456795871123,0.3764346304666837
1,2018,0.7186481325770648,0.356820547050022
2,2019,0.7518805893411231,0.3733678865402526
3,2020,0.7453455922870881,0.33521496328946493
