,Fecha,Predicción,Predicción Lower,Predicción Upper,Tendencia,Datos reales
1092,2020-01-02,0.3789902768195595,0.37518464216456554,0.3828825967643589,0.38237223272468546,0.37601436280146666
1093,2020-01-03,0.379184875975427,0.3755229749944156,0.3831719546227624,0.3823242845194302,0.3796577159922653
1094,2020-01-04,0.38016932988352736,0.37637318996371494,0.3840108003343374,0.3822763363141749,0.3791626501458383
1095,2020-01-05,0.3796881217246982,0.37615394587328016,0.3835343128944446,0.3822283881089196,0.3799184058791468
1096,2020-01-06,0.3795049589648453,0.3755133204854973,0.38313242753188553,0.38218043990366435,0.3786138183884871
1097,2020-01-07,0.379577380001922,0.37583506886236084,0.38331392796801916,0.3821324916984091,0.3771584431299187
1098,2020-01-08,0.3799784908516363,0.37604213577812884,0.38357828288298484,0.38208454349315385,0.3777901584379563
1099,2020-01-09,0.37992079563140035,0.3763442627085581,0.3834964083410447,0.38203659528789863,0.3778832582589656
1100,2020-01-10,0.3799544046836356,0.37593544080651853,0.3835574065300786,0.38198864708264335,0.3791294880044567
1101,2020-01-11,0.38075365467904093,0.37691532384468884,0.38441901276586804,0.3819406988773881,0.37967304589961776
1102,2020-01-12,0.38006532172613994,0.3763092649264654,0.3839887315618024,0.38189275067213285,0.3790172983740985
1103,2020-01-13,0.3796558262280688,0.37601040710995126,0.3834655638145408,0.3818448024668776,0.3787173475043749
1104,2020-01-14,0.3794858020867441,0.37581853520370695,0.38327601587083304,0.38179685426162235,0.3781135016754961
1105,2020-01-15,0.37963178839566625,0.3757888936697883,0.38334361237408704,0.3817489060563671,0.3783816544448652
1106,2020-01-16,0.37931000798302783,0.3754152424034816,0.38312329430419256,0.3817009578511118,0.37788362562367545
1107,2020-01-17,0.37907451739598275,0.37525295727392094,0.38290339913900584,0.3816530096458565,0.37836471926048776
1108,2020-01-18,0.379603763556127,0.375752212854299,0.3831350493644182,0.38160506144060125,0.3781338413788147
1109,2020-01-19,0.3786487291300676,0.37479288302965913,0.3824350889090322,0.381557113235346,0.3770244828733938
1110,2020-01-20,0.37798006648731225,0.37382324924986043,0.3822023609567616,0.38150916503009075,0.3729671027218418
1111,2020-01-21,0.3775625940727028,0.3737798098184351,0.38137896630004237,0.3814612168248355,0.3768325627089605
1112,2020-01-22,0.3774769146370918,0.37345444182710297,0.3814454424199105,0.38141326861958025,0.37756135154443343
1113,2020-01-23,0.376943121042354,0.37283360612816385,0.3808292842310154,0.38136532041432497,0.377453508732458
1114,2020-01-24,0.3765188756127163,0.37218164560262623,0.38034465937859624,0.38131737220906975,0.3767292200099703
1115,2020-01-25,0.37688589964301433,0.3727664600170818,0.38090747414278475,0.3812694240038144,0.3771813346277677
1116,2020-01-26,0.37579805645960435,0.37161286968733903,0.3799385085475215,0.3812214757985592,0.3756672933740393
1117,2020-01-27,0.37502842920015095,0.37065613066453473,0.3789759363055875,0.3811735275933039,0.3730636873112857
1118,2020-01-28,0.37454376834714986,0.37002563032575647,0.3788077743709726,0.3811255793880487,0.3747163428599764
1119,2020-01-29,0.37442606955167185,0.3699458814909797,0.3787999420087063,0.3810776311827934,0.3746153754922572
1120,2020-01-30,0.3738962484151749,0.36960140417193466,0.37818279446625036,0.38102968297753814,0.3750784500369792
1121,2020-01-31,0.3735121989872088,0.3692906745683164,0.3774423850812143,0.3809817347722829,0.37569106999535024
1122,2020-02-01,0.3739552731881616,0.36944702331258356,0.378498817046405,0.38093378656702764,0.3770495509130494
1123,2020-02-02,0.3729783649455385,0.3685377458318742,0.37741304322013763,0.3808858383617724,0.3755904052557275
1124,2020-02-03,0.3723530003829833,0.36804206784895527,0.3764150237516412,0.3808378901565171,0.3703776568627312
1125,2020-02-04,0.37204380904009426,0.36744656741989423,0.3766722162630178,0.38078994195126187,0.3718544138359143
1126,2020-02-05,0.3721301363683461,0.3674229022177184,0.3769562192186173,0.3807419937460066,0.3765244385766849
1127,2020-02-06,0.37182976364555437,0.3669874995979729,0.37618818318499986,0.3806940455407513,0.376692797764415
1128,2020-02-07,0.37169702131282334,0.3670647140705723,0.37633756392221374,0.3806460973354961,0.3783166839084986
1129,2020-02-08,0.3724093319718609,0.3680897914872119,0.37698980499738355,0.3805981491302408,0.3792757771597695
1130,2020-02-09,0.3717153656587323,0.36699675358730155,0.3764118893744269,0.3805502009249856,0.3779828675986746
1131,2020-02-10,0.3713822073813104,0.3669425724099508,0.3762501344950943,0.3805022527197303,0.3741141000245027
1132,2020-02-11,0.371369910392842,0.3660719732230383,0.3761926173162421,0.38045430451447504,0.3761166676276299
1133,2020-02-12,0.3717531938181755,0.3668717814389748,0.37647124192094195,0.38040635630921976,0.37798791357439737
1134,2020-02-13,0.37174524905676865,0.36681687921972733,0.3765261505512618,0.3803584081039645,0.3783114985282107
1135,2020-02-14,0.37189593919559283,0.3670959517696993,0.3771605638948106,0.38031045989870926,0.3806646963495414
1136,2020-02-15,0.3728784258848229,0.36767283999277023,0.3781630534624838,0.380262511693454,0.3796375474274698
1137,2020-02-16,0.3724374045334919,0.36713621946090663,0.3776566188785549,0.38021456348819876,0.3793954508412327
1138,2020-02-17,0.37233634611928124,0.36697619733396786,0.37754919094381933,0.3801666152829435,0.37420321608227936
1139,2020-02-18,0.3725321174970947,0.36717626607644316,0.37812724018713467,0.3801186670776882,0.3764600333408021
1140,2020-02-19,0.3730967373778965,0.3678638297599024,0.3781743695268902,0.380070718872433,0.3771982402366685
1141,2020-02-20,0.37324123113442015,0.3679533350771635,0.3785217895521079,0.3800227706671777,0.3770378640511083
1142,2020-02-21,0.3735138676080328,0.36814057185543175,0.37907649020479084,0.37997482246192243,0.3770680098579329
1143,2020-02-22,0.37458681154632106,0.3689543436952262,0.3801296725667013,0.3799268742566672,0.37756542282196204
1144,2020-02-23,0.37420437196216183,0.3684934613245013,0.3797879292445234,0.37987892605141194,0.3748905605392912
1145,2020-02-24,0.3741302444147706,0.3684538692866309,0.37970775498285037,0.37983097784615666,0.3734003606272253
1146,2020-02-25,0.3743221190858293,0.36874997684453004,0.3803564272580606,0.3797830296409014,0.3726357855095873
1147,2020-02-26,0.37485341209552997,0.36874709169707476,0.38097656656570783,0.37973508143564616,0.3727303256526936
1148,2020-02-27,0.3749370837694559,0.3687840270878346,0.38077034006472255,0.3796871332303909,0.3730243779672085
1149,2020-02-28,0.3751238278549883,0.36854285857012903,0.38128324180745077,0.37963918502513566,0.37027614157214894
1150,2020-02-29,0.376088666393933,0.37018270516090146,0.38234270388420455,0.3795912368198804,0.3684674341691642
1151,2020-03-01,0.37557913184829217,0.3688351424695239,0.38219805033587767,0.37954328861462516,0.3702224052248605
1152,2020-03-02,0.3753624359852657,0.36909921319868344,0.38180750809753256,0.3794953404093699,0.3691102510249669
1153,2020-03-03,0.3753999990652908,0.3690609946957846,0.38199405274260323,0.37944739220411455,0.3701970977569414
1154,2020-03-04,0.37576909857457313,0.3694112876709323,0.3820095810474201,0.37939944399885933,0.3701808571795028
1155,2020-03-05,0.3756866030936928,0.369200434495398,0.38210430863917483,0.37935149579360405,0.37139713353325343
1156,2020-03-06,0.3757070772207976,0.3690983043437024,0.3823296587249756,0.37930354758834883,0.3718123221448637
1157,2020-03-07,0.3765092941694544,0.3698013339384687,0.3840702390068489,0.37925559938309356,0.3724617025406711
1158,2020-03-08,0.3758443394989599,0.36874781264582324,0.38300842770868476,0.37920765117783833,0.3725761364852272
1159,2020-03-09,0.37548270724680266,0.36843974891621445,0.38286595515584715,0.37915970297258306,0.3685478255444679
1160,2020-03-10,0.3753887636306807,0.36776441784640224,0.38267978260020463,0.3791117547673278,0.36904603993901386
1161,2020-03-11,0.3756423390057919,0.36848087528901324,0.38333322666906317,0.37906380656207256,0.37018478813488986
1162,2020-03-12,0.3754624148987817,0.3683795244885093,0.3825965465942101,0.3790158583568172,0.37034039894540177
1163,2020-03-13,0.375405193022405,0.3680233210354781,0.38352159274415815,0.37896791015156206,0.36851702994537855
1164,2020-03-14,0.3761505836084472,0.36825683495175976,0.38426027367055177,0.3789199619463067,0.3697413586249986
1165,2020-03-15,0.37545029694889764,0.36729121843600837,0.3833619846906839,0.3788720137410515,0.3678648745273104
1166,2020-03-16,0.3750749395520057,0.3666169891476614,0.3836158861901422,0.37882406553579623,0.36786086151437103
1167,2020-03-17,0.37498848991961836,0.3669496350312409,0.3833889749931557,0.37877611733054095,0.3681274629370603
1168,2020-03-18,0.3752699141775525,0.36732724847910836,0.3841200372605002,0.37872816912528573,0.36875558392135216
1169,2020-03-19,0.3751368876456773,0.3662788892248247,0.3836683440418506,0.37868022092003045,0.36870875815925663
1170,2020-03-20,0.3751439082558216,0.3670286895851173,0.3848586179847199,0.37863227271477523,0.360759866913552
1171,2020-03-21,0.37596883792386543,0.3669845354431833,0.38448651158641783,0.3785843245095199,0.3620017894113303
1172,2020-03-22,0.37536105433168226,0.366178870611812,0.3844462459871372,0.3785363763042647,0.36261405961638055
1173,2020-03-23,0.3750886129252946,0.3658830182223621,0.38393283279353685,0.3784884280990094,0.3621475113080485
1174,2020-03-24,0.3751127924107389,0.3653939468334036,0.38476075773305846,0.3784404798937541,0.3621676607484158
1175,2020-03-25,0.37550978217457004,0.3656186056278782,0.384720222653152,0.3783925316884989,0.3621876886208947
1176,2020-03-26,0.37549447587724755,0.3655640792840631,0.3847660310934731,0.3783445834832436,0.3638917665082789
1177,2020-03-27,0.37561865530284483,0.36614427857440285,0.3850898075081262,0.3782966352779884,0.3670223072584394
1178,2020-03-28,0.3765575988073,0.36673221344023743,0.3868487031177518,0.3782486870727331,0.3661736076732906
1179,2020-03-29,0.3760582951622414,0.36552015551375766,0.3858854061269921,0.37820073886747785,0.3663508416104618
1180,2020-03-30,0.37588666108991287,0.3651622465444269,0.3856792490198638,0.37815279066222257,0.3666550805510741
1181,2020-03-31,0.3760021344456817,0.36515500496787845,0.3862727452786905,0.37810484245696735,0.3669617187544849
1182,2020-04-01,0.37647940036913063,0.36575320503429587,0.3876296922927871,0.3780568942517121,0.366520147679668
1183,2020-04-02,0.3765322137922928,0.36577871939914436,0.38708192058430757,0.37800894604645685,0.3670062484622929
1184,2020-04-03,0.37671160179579033,0.3654566918705461,0.38837574658013585,0.3779609978412016,0.3704121896515586
1185,2020-04-04,0.37769247984277604,0.3663821045038754,0.3890694332062336,0.3779130496359463,0.3710098197342851
1186,2020-04-05,0.37722186266202207,0.36630001166368886,0.3887553990614902,0.377865101430691,0.3715131808221752
1187,2020-04-06,0.3770660683346664,0.365618485828757,0.3887204167687942,0.3778171532254358,0.3700051442687588
1188,2020-04-07,0.37718528807600604,0.36487862901757373,0.3887711497032652,0.3777692050201805,0.3717885321951623
