,Artist,Streamstotal
0,Bad Bunny,122953094
1,J Balvin,90325976
2,Rauw Alejandro,43243975
3,ROSALÍA,31883714
4,Daddy Yankee,29711677
5,Myke Towers,27970521
6,KAROL G,25983301
7,Anuel AA,20490647
8,Morat,19084587
9,Jhay Cortez,18821560
10,Pedro Capó,16593146
11,Dua Lipa,16136177
12,Sebastian Yatra,15389972
13,Rvfv,14774874
14,Lunay,14091297
15,Beret,14072407
16,Lola Indigo,13681979
17,Lérica,13418578
18,Aitana,13129691
19,C. Tangana,12574276
