,Fecha,Predicción,Predicción Lower,Predicción Upper,Tendencia,Datos reales
0,2017-01-01,0.5647585677923403,0.5590522912991586,0.5700558021131333,0.5580420252641833,0.5616730122405776
1,2017-01-02,0.564796478013391,0.5593933191606271,0.5700660746838833,0.5586664176400892,0.5631341856802912
2,2017-01-03,0.565041859578416,0.5593958025612829,0.570335818616508,0.559290810015995,0.5640958445694952
3,2017-01-04,0.5656925515327139,0.5599574033745693,0.5710259770285424,0.5599152023919008,0.5647370510097415
4,2017-01-05,0.5661114951033008,0.5607600299486115,0.5713541444146957,0.5605395947678067,0.5633206878286198
5,2017-01-06,0.567158135745056,0.5619353644444486,0.5722498077683545,0.5611639871437125,0.5637899972644577
6,2017-01-07,0.5682297314275702,0.5625636998002741,0.5736110924312507,0.5617883795196184,0.5617085216259117
7,2017-01-08,0.5683523671349044,0.5632696010699659,0.5737019321494576,0.5624127718955242,0.5622025700747896
8,2017-01-09,0.5683065279727451,0.5631930902021196,0.5734863138835462,0.56303716427143,0.5618909371687761
9,2017-01-10,0.5684870527293563,0.5633639529847414,0.5733882684779782,0.5636615566473359,0.5636470916109303
10,2017-01-11,0.5690901420434,0.5637402698417383,0.5744561689179396,0.5642859490232417,0.5629377984829288
11,2017-01-12,0.5694768535839269,0.5645911418495105,0.5744672718288681,0.5649103413991475,0.5635388952957759
12,2017-01-13,0.5705045743107481,0.5652584910770302,0.5757374960368473,0.5655347337750534,0.5648447522347696
13,2017-01-14,0.5715684015265973,0.566341365521505,0.5770601027898875,0.5661591261509592,0.5654845256395006
14,2017-01-15,0.5716922305173692,0.5664334031497098,0.5775306539269802,0.566783518526865,0.5676006171009753
15,2017-01-16,0.5716543990058855,0.5663865202695371,0.5772103719208083,0.5674079109027709,0.5738266236062041
16,2017-01-17,0.5718477081667778,0.5666565516401861,0.5771710072465049,0.5680323032786768,0.5767487628806234
17,2017-01-18,0.5724664923875494,0.5675113170505934,0.5779332045601289,0.5686566956545827,0.5760318023612646
18,2017-01-19,0.5728701684014744,0.5673401002044297,0.578372985088666,0.5692810880304885,0.5766074522409986
19,2017-01-20,0.573914752321029,0.5690205331320409,0.5792579518202206,0.5699054804063943,0.5784311095522371
20,2017-01-21,0.5749942750290572,0.569756878103889,0.5804351805021882,0.5705298727823002,0.5781228023002724
21,2017-01-22,0.5751318927916816,0.5701716275670202,0.5805099208288028,0.571154265158206,0.5795867757885794
22,2017-01-23,0.5751055427357861,0.5698241755701917,0.5807216438333769,0.5717786575341118,0.5829426136433355
23,2017-01-24,0.5753079627227988,0.5701472680419016,0.5810186581608993,0.5724030499100177,0.5825185976275048
24,2017-01-25,0.5759337479614252,0.5707099299319806,0.5812656478927327,0.5730274422859234,0.5822160098669487
25,2017-01-26,0.5763428755116582,0.5713387587337305,0.581368173143554,0.5736518346618292,0.5819826840840455
26,2017-01-27,0.577392186089232,0.5722437449934438,0.5828819939979897,0.5742762270377351,0.5803933000776998
