,name,artist,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,spotify_id,release_date_year
0,Safaera,Bad Bunny,YHLQMDLG,2020-02-28,0.801627742952919,0.7719298245614035,0.0103,0.607,0.829,0.0,0.107,0.8833380162967126,0.7996357012750455,0.685,0.12881793413316764,4,2DEZmgHKAvm41k4J3R2E9Y,2020
1,Yo Perreo Sola,Bad Bunny,YHLQMDLG,2020-02-28,0.3140616703780897,0.7719298245614035,0.021,0.86,0.758,6.54e-05,0.344,0.8223096375386345,0.09494535519125684,0.453,0.13552570782148718,4,0SqqAgdovOE24BzxIClpjw,2020
2,Tusa,KAROL G,Tusa,2019-11-07,0.428308779826765,0.8245614035087719,0.295,0.803,0.715,0.000134,0.0574,0.9279572913739814,0.6152094717668487,0.574,0.1679572359511177,4,7k4t7uLgtOxPwTpFmtJNTY,2019
3,La Difícil,Bad Bunny,YHLQMDLG,2020-02-28,0.2782299285980331,0.7192982456140351,0.0861,0.685,0.848,7.14e-06,0.0783,0.8559707783085136,0.1320582877959927,0.761,0.7955961314787375,4,6NfrH0ANGmgBXyxgV2PeXt,2020
4,Amarillo,J Balvin,Colores,2020-03-19,0.25702726905307205,0.7017543859649122,0.013,0.641,0.857,0.00534,0.0695,0.7905591458274797,0.6220400728597449,0.961,0.3403756990583624,5,6zEgnpM0qYmHLDnh8WPejL,2020
5,Blinding Lights,The Weeknd,After Hours,2020-03-20,0.4246633963879005,0.9649122807017544,0.00146,0.514,0.73,9.54e-05,0.0897,0.7788142736723799,0.07285974499089252,0.334,0.7249733123018339,4,0VjIjW4GlUZAMYd2vXMi3b,2020
6,Azul,J Balvin,Colores,2020-03-19,0.44801366226314915,0.7894736842105263,0.0816,0.843,0.836,0.00138,0.0532,0.973250913177859,0.09494535519125684,0.65,0.11165814253620768,4,2lCkncy6bIB0LTMT7kvrD1,2020
7,Say So,Doja Cat,Hot Pink,2019-11-07,0.5746511130306609,0.7894736842105263,0.256,0.787,0.673,3.57e-06,0.0904,0.8550716493397023,0.296448087431694,0.786,0.24664212991730805,4,3Dv1eDb0MEgF93GpLXlucZ,2019
8,death bed (coffee for your head),Powfu,death bed (coffee for your head),2020-02-08,0.3188402925816447,0.8771929824561403,0.731,0.726,0.431,0.0,0.696,0.6197246417533014,0.24408014571949,0.348,0.5100457275783504,4,7eJMfftS33KTjuF7lTsMCx,2020
9,Supalonely,BENEE,STELLA & STEVE,2019-11-15,0.517541426612884,0.7894736842105263,0.305,0.863,0.631,3.04e-05,0.123,0.848777746558022,0.05828779599271403,0.817,0.3901582142345013,4,4nK5YrxbMGZstTLbvj6Gxw,2019
10,Si Veo a Tu Mamá,Bad Bunny,YHLQMDLG,2020-02-28,0.3094811668396903,0.7017543859649122,0.402,0.9,0.603,4.81e-06,0.134,0.8137117167743749,0.08378870673952642,0.824,0.3977343339228527,4,41wtwzCZkXwpnakmwJ239F,2020
11,Tattoo,Rauw Alejandro,Tattoo,2020-02-13,0.4359403108085619,0.7017543859649122,0.0217,0.755,0.617,0.0,0.0625,0.8232087665074459,0.3510928961748634,0.745,0.9073339387855902,4,7na7Bk98usp84FaOJFPv3d,2020
12,Callaita,Bad Bunny,Callaita,2019-05-31,0.6247355115820171,0.7017543859649122,0.6,0.61,0.624,2.12e-06,0.243,0.8440573194717618,0.6402550091074681,0.244,0.7661121998629767,4,2TH65lNHgvLxCKXM3apjxI,2019
13,La Santa,Bad Bunny,YHLQMDLG,2020-02-28,0.44994333806176545,0.7017543859649122,0.0326,0.744,0.868,0.0,0.0822,0.8580500140488901,0.04371584699453552,0.586,0.10384302853592094,4,69vlMrzHwATKzupwNcUPyK,2020
14,Diosa,Myke Towers,Easy Money Baby,2020-01-24,0.4800296385523073,0.7192982456140351,0.398,0.801,0.745,0.00603,0.153,0.9025007024445069,0.08014571948998178,0.245,0.1988671669614264,4,3JHpk0DOTOzyh0777JFAky,2020
15,La Jeepeta - Remix,Nio Garcia,La Jeepeta (Remix),2020-04-24,1.0,0.8421052631578947,0.3,0.815,0.715,4.83e-06,0.091,0.8509693734194999,0.40801457194899815,0.786,0.7648216305785257,4,1mohfLaTJtB2RplHLQVM70,2020
16,LA CANCIÓN,J Balvin,OASIS,2019-06-28,0.5931950200892326,0.7192982456140351,0.152,0.754,0.646,1.85e-05,0.108,0.7866254565889296,0.6584699453551912,0.429,0.7654748816978156,4,0fea68AdmYNygeTGI4RC18,2019
17,Jangueo,Alex Rose,LOST,2019-11-08,0.6606623503213485,0.5789473684210527,0.238,0.851,0.688,1.93e-05,0.105,0.8853610564765384,0.06534608378870674,0.732,0.19103612000701053,4,5m3jpKkgkfoMcym1qjToFg,2019
18,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,"Agua (with J Balvin) [Music From ""Sponge On The Run"" Movie]",2020-07-09,0.257863329820029,0.8596491228070176,0.162,0.76,0.658,0.0,0.195,0.8158471480753021,0.5628415300546449,0.565,0.16092283670315316,4,1pqnQ41XbfKjaFu6M0eGJp,2020
19,Blinding Lights,The Weeknd,Blinding Lights,2019-11-29,0.4307377146615737,0.0,0.00147,0.513,0.796,0.000209,0.0938,0.8832818207361619,0.07991803278688524,0.345,0.725068910026608,4,0sf12qNH5qcw8qpgymFOqD,2019
20,Hola - Remix,Dalex,Hola (Remix),2019-11-01,0.620721627425963,0.7192982456140351,0.471,0.654,0.672,0.0,0.0781,0.776229277887047,0.6448087431693988,0.343,0.8114255214059239,4,5stPVcRqb4qixbafP9e8lt,2019
21,RITMO (Bad Boys For Life),Black Eyed Peas,RITMO (Bad Boys For Life),2019-10-12,0.5105438753595853,0.7192982456140351,0.0334,0.721,0.716,0.00084,0.237,0.7168305703849397,0.08629326047358833,0.667,0.19909819479629723,4,6cy3ki60hLwimwIje7tALf,2019
22,Elegí (feat. Dímelo Flow),Rauw Alejandro,Elegí (feat. Dímelo Flow),2020-03-26,0.41547465269798,0.7894736842105263,0.237,0.824,0.631,0.000116,0.0531,0.9554369204832819,0.12090163934426229,0.678,0.732621130283766,4,50ZC4PM7hywH27RcCfViau,2020
23,Watermelon Sugar,Harry Styles,Fine Line,2019-12-13,0.32148319557482147,0.9298245614035088,0.122,0.548,0.816,0.0,0.335,0.8757516156223659,0.04257741347905282,0.557,0.12258814906871887,4,6UelLqGlWMcVH1E5c4H7lY,2019
24,Caramelo,Ozuna,Caramelo,2020-06-11,0.4940287034322077,0.8596491228070176,0.0531,0.728,0.806,0.000301,0.153,0.9006462489463334,0.07855191256830601,0.698,0.7017032327963929,4,3gD4J3RUHy4OUuZ3qAiaiG,2020
25,La Curiosidad,Jay Wheeler,Platonicos,2020-06-12,0.49998018813348444,0.8771929824561403,0.269,0.845,0.677,0.000917,0.108,0.8426524304579939,0.2463570127504554,0.68,0.07975240189283503,4,4HYDUMY0xSpeBr0AMY9cUz,2020
26,Toxic,Britney Spears,In The Zone,2003-11-13,0.4197500534920396,0.631578947368421,0.0249,0.774,0.838,0.025,0.242,0.8923293059848273,0.19626593806921674,0.924,0.502190781192741,4,6I9VzXrHxO9rA9A5euc8Ak,2003
27,Negro,J Balvin,Colores,2020-03-19,0.35355068271692014,0.6140350877192983,0.0157,0.795,0.911,0.206,0.131,0.9870750210733352,0.13592896174863386,0.8,0.669813425107149,4,2hsA9YWuF3C9Gosi4dpjJN,2020
