Position,Track Name,Artist,Streams,date,region,spotify_id
1,Échame La Culpa,Luis Fonsi,214128,2018-01-01,es,1zsG4eaZmkA1dvjDDsAGLK
2,Sensualidad,Bad Bunny,172652,2018-01-01,es,5hcisvFMidkMJlElTO9Qmw
3,Mayores,Becky G,165850,2018-01-01,es,7JNh1cfm0eXjqFVOzKLyau
4,Criminal,Natti Natasha,159523,2018-01-01,es,6Za3190Sbw39BBC77WSS1C
5,Corazón,Maluma,145317,2018-01-01,es,4lESS6vuruP6a79KWRaQou
6,Se Preparó,Ozuna,130808,2018-01-01,es,1m69ELEgE6k5ZWsap40ozt
7,Perro Fiel (feat. Nicky Jam),Shakira,121777,2018-01-01,es,70lnL3QaSOIIyMa2X9aVRL
8,Me Rehúso,Danny Ocean,117345,2018-01-01,es,6De0lHrwBfPfrhorm9q1Xl
9,Báilame - Remix,Nacho,109779,2018-01-01,es,3VClLWqNn80Llv0PJOsKgr
10,Havana - Remix,Camila Cabello,108769,2018-01-01,es,3whrwq4DtvucphBPUogRuJ
11,Bum Bum Tam Tam,MC Fioti,106756,2018-01-01,es,4zWO4gvuFtw6EJZC5FFGlr
12,Downtown,Anitta,104708,2018-01-01,es,3Ga6eKrUFf12ouh9Yw3v2D
13,Suena El Dembow,Joey Montana,103856,2018-01-01,es,5TysCiZtv1HnSWcTcUFusI
14,Chambea,Bad Bunny,103074,2018-01-01,es,6ElmxV9B2mSNscEjP27M7i
15,Havana,Camila Cabello,102263,2018-01-01,es,0ofbQMrRDsUaVKq2mGLEAb
16,Felices los 4,Maluma,98125,2018-01-01,es,0qYTZCo5Bwh1nsUFGZP3zn
17,New Rules,Dua Lipa,91249,2018-01-01,es,2ekn2ttSfGqwhhate0LSR0
18,Mi Gente,J Balvin,88676,2018-01-01,es,2rb5MvYT7ZIxbKW5hfcHx8
19,rockstar,Post Malone,88285,2018-01-01,es,7wGoVu4Dady5GV0Sv4UIsx
20,Que Va,Alex Sensation,87052,2018-01-01,es,7ofxPmTNMj2GP07g1VZa0O
21,Déjate Llevar,Juan Magán,85614,2018-01-01,es,3xWEI23MLJrD0dpDcDUTW6
22,Robarte un Beso,Carlos Vives,85466,2018-01-01,es,0JcNysfWVWaMS7R6vzGB2k
23,No vaya a ser,Pablo Alborán,85216,2018-01-01,es,6ZZOdrcqRZzTCwGlsy00SU
24,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,81526,2018-01-01,es,33bnxcjePIkcmNjEFTJX0l
25,Shape of You,Ed Sheeran,79959,2018-01-01,es,7qiZfU4dY1lWllzX7mPBI3
26,Escápate Conmigo (feat. Ozuna),Wisin,79262,2018-01-01,es,1KSqYYJFyfTecXFk9M0prc
27,La isla del amor (feat. Maki),Demarco Flamenco,76717,2018-01-01,es,0Gw9QC3RqHmTdGqHIWLHb6
28,SUTRA,Sebastian Yatra,75596,2018-01-01,es,5TmZYdHW6HJ9gt7Aokuql5
29,Vuelve,Daddy Yankee,74493,2018-01-01,es,0lJCqIx5BhZtf6QtYI2fbv
30,Síguelo Bailando,Ozuna,71325,2018-01-01,es,5Y9fnynLlIvqtM710MHzfz
31,Perfect,Ed Sheeran,70845,2018-01-01,es,0tgVpDi06FyKpA1z0VMD4v
32,Una Lady Como Tú,Manuel Turizo,68516,2018-01-01,es,7MHN1aCFtLXjownGhvEQlF
33,Besos En Guerra,Morat,68513,2018-01-01,es,1d0c62VFYauOOgxZ2eFUxx
34,Wolves,Selena Gomez,67739,2018-01-01,es,7EmGUiUaOSGDnUUQUDrOXC
