,Track Name,Artist,Streams,date,spotify_id,year,Streamstotal,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,release_year,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,genre9,genre10,genres_together,artist_id,artist_followers,artist_popularity,Period,streamstotal_weights
48066,Tusa,KAROL G,432554,2020-01-08,7k4t7uLgtOxPwTpFmtJNTY,2020,33218824,Tusa,2019-11-07,0.2928693269579466,0.9578947368421052,0.295,0.8029999999999999,0.715,0.000134,0.0574,0.8253612993989001,0.5206517620310723,0.574,0.2944525640210967,4,2019-01-01,latin,reggaeton,reggaeton colombiano,,,,,,,,"latin,reggaeton,reggaeton colombiano",790FomKkXshlbRYZFtlgla,11614405,0.8888888888888888,NormalPeriod,0.02887384430889289
48128,Ocean,KAROL G,29680,2020-01-19,6qoIFQfdmaQF9A1gb67tR7,2020,90300,OCEAN,2019-05-03,0.1719500893180933,0.7789473684210526,0.933,0.727,0.482,0.0,0.388,0.639084281877478,0.17392951875710494,0.487,0.12825189044925975,4,2019-01-01,latin,reggaeton,reggaeton colombiano,,,,,,,,"latin,reggaeton,reggaeton colombiano",790FomKkXshlbRYZFtlgla,11614405,0.8888888888888888,NormalPeriod,7.848887549700821e-05
48131,Culpables,KAROL G,104001,2019-01-08,6q8Lb50EtqNeeJXXe8mMAH,2019,5795406,Culpables,2018-09-14,0.36181483620539134,0.7368421052631579,0.279,0.728,0.8009999999999999,4.71e-06,0.14300000000000002,0.8469753165366415,0.08544903372489579,0.416,0.4785664357882696,4,2018-01-01,latin,reggaeton,reggaeton colombiano,,,,,,,,"latin,reggaeton,reggaeton colombiano",790FomKkXshlbRYZFtlgla,11614405,0.8888888888888888,NormalPeriod,0.0068539459756060805
48192,Créeme,KAROL G,88542,2019-01-08,1mT47pKLXUwPYGwB91GcNz,2019,5826451,Créeme,2018-11-02,0.3238499456032665,0.7684210526315789,0.154,0.715,0.872,0.000146,0.11,0.811229057424223,0.059681697612732086,0.682,0.2681070089597763,4,2018-01-01,latin,reggaeton,reggaeton colombiano,,,,,,,,"latin,reggaeton,reggaeton colombiano",790FomKkXshlbRYZFtlgla,11614405,0.8888888888888888,NormalPeriod,0.006890661393440947
48253,Mi Cama - Remix,KAROL G,27899,2019-01-12,38QmUDpkoYlNbMKvpvAsrE,2019,27899,Mi Cama (Remix),2018-07-13,0.2804050877734947,0.6947368421052632,0.299,0.815,0.784,0.0,0.0958,0.7522701112674255,0.09586964759378552,0.8320000000000001,0.6876215288809809,4,2018-01-01,latin,reggaeton,reggaeton colombiano,,,,,,,,"latin,reggaeton,reggaeton colombiano",790FomKkXshlbRYZFtlgla,11614405,0.8888888888888888,NormalPeriod,3.299479601143285e-05
48254,Ahora Me Llama,KAROL G,26776,2018-01-08,11ZRYISCsAsLyyJo47DudZ,2018,53864,Unstoppable,2017-10-27,0.3849166588317462,0.0,0.00982,0.6559999999999999,0.568,1.82e-05,0.0937,0.6727842435094001,0.033535430087154226,0.121,0.5091885365698671,4,2017-01-01,latin,reggaeton,reggaeton colombiano,,,,,,,,"latin,reggaeton,reggaeton colombiano",790FomKkXshlbRYZFtlgla,11614405,0.8888888888888888,NormalPeriod,9.692986458830974e-05
48256,Ahora Me Llama - Remix,KAROL G,21284,2018-01-08,63yOvxSAB02K45KDnZscS0,2018,330066,Unstoppable,2017-10-27,0.429401098679704,0.0,0.0408,0.6729999999999999,0.615,5.91e-05,0.141,0.586008440977107,0.03656688139446762,0.229,0.5101798309715956,4,2017-01-01,latin,reggaeton,reggaeton colombiano,,,,,,,,"latin,reggaeton,reggaeton colombiano",790FomKkXshlbRYZFtlgla,11614405,0.8888888888888888,NormalPeriod,0.0005939635505199214
48271,La Dama,KAROL G,20975,2018-01-08,18Lf9mbzkZnQDjksUhpIqY,2018,1824783,Unstoppable,2017-10-27,0.3128550897881885,0.0,0.122,0.8420000000000001,0.7709999999999999,0.000167,0.0967,0.6587159483309887,0.32550208412277376,0.75,0.2874880854038254,4,2017-01-01,latin,reggaeton,reggaeton colombiano,,,,,,,,"latin,reggaeton,reggaeton colombiano",790FomKkXshlbRYZFtlgla,11614405,0.8888888888888888,NormalPeriod,0.003283751097078747
48332,Ahora Me Llama,KAROL G,28711,2018-01-10,0alSPoUfrGb0RdVVG4Lf3n,2018,1143790,Unstoppable,2017-10-27,0.3849166588317462,0.6947368421052632,0.00949,0.6459999999999999,0.573,3.98e-05,0.0932,0.6695869036961247,0.03372489579386132,0.109,0.5098303361504735,4,2017-01-01,latin,reggaeton,reggaeton colombiano,,,,,,,,"latin,reggaeton,reggaeton colombiano",790FomKkXshlbRYZFtlgla,11614405,0.8888888888888888,NormalPeriod,0.0020582840081958785
48376,Pineapple,KAROL G,45113,2018-03-02,24snQ8Ew7aIKYCt0ulXHvx,2018,375645,Pineapple,2018-03-02,0.232122278484413,0.0,0.0508,0.782,0.6709999999999999,2.49e-06,0.388,0.7272029671313467,0.07351269420234938,0.667,0.2556649933278261,4,2018-01-01,latin,reggaeton,reggaeton colombiano,,,,,,,,"latin,reggaeton,reggaeton colombiano",790FomKkXshlbRYZFtlgla,11614405,0.8888888888888888,NormalPeriod,0.0006759843120317024
48384,Alocao (With Bad Gyal),Omar Montes,271744,2020-01-08,6RyuoOJXNzlVWpfC5xQyeI,2020,14924501,Alocao (With Bad Gyal),2019-10-24,0.3153264475575195,0.7578947368421053,0.214,0.6729999999999999,0.752,1.53e-06,0.106,0.7342371147205525,0.06347101174687382,0.6990000000000001,0.7832369574887208,4,2019-01-01,flamenco urbano,trap espanol,,,,,,,,,"flamenco urbano,trap espanol",3lY9Fxceu60W1rbon7PkuF,226823,0.7373737373737373,NormalPeriod,0.012972395358183548
48446,Más y Más,Omar Montes,87261,2020-02-21,4i0sSXYpBLMnhHc7jnI5v2,2020,1502492,Más y Más,2020-02-21,0.17640927833666878,0.5894736842105263,0.269,0.6990000000000001,0.772,0.0,0.039,0.8359764675789743,0.4543387646835922,0.429,0.22388002795958567,4,2020-01-01,flamenco urbano,trap espanol,,,,,,,,,"flamenco urbano,trap espanol",3lY9Fxceu60W1rbon7PkuF,226823,0.7373737373737373,NormalPeriod,0.001305967968142313
48464,+,Aitana,268824,2020-01-08,5Cbo7oz78gqkzV3EAM63VA,2020,14007192,+,2019-12-17,0.34231528615368084,0.8,0.106,0.561,0.6659999999999999,0.0,0.123,0.7637805345952168,0.01705191360363774,0.675,0.6689457965304696,4,2019-01-01,latin pop,latin talent show,spanish pop,,,,,,,,"latin pop,latin talent show,spanish pop",7eLcDZDYHXZCebtQmVFL25,1135957,0.7676767676767676,NormalPeriod,0.012175069202111732
48526,Con La Miel En Los Labios,Aitana,67224,2020-01-08,2QJcrJNa4KGxQ6bw0MH3Zx,2020,3561500,Spoiler,2019-06-07,0.2968611070071052,0.6736842105263158,0.8690000000000001,0.662,0.331,0.0,0.114,0.5011510423327792,0.033156498673740056,0.4320000000000001,0.3751159687360996,3,2019-01-01,latin pop,latin talent show,spanish pop,,,,,,,,"latin pop,latin talent show,spanish pop",7eLcDZDYHXZCebtQmVFL25,1135957,0.7676767676767676,NormalPeriod,0.003095660355288978
48588,Me Quedo,Aitana,64041,2020-01-08,6Nqi1fWKYXrVXmF3RtQbSf,2020,3587017,Spoiler,2019-06-07,0.2216109491894215,0.6842105263157895,0.4320000000000001,0.8240000000000001,0.7140000000000001,0.0,0.442,0.8568231231615295,0.052671466464569903,0.77,0.26871703628391685,4,2019-01-01,latin pop,latin talent show,spanish pop,,,,,,,,"latin pop,latin talent show,spanish pop",7eLcDZDYHXZCebtQmVFL25,1135957,0.7676767676767676,NormalPeriod,0.003117839764326156
48650,Vas A Quedarte,Aitana,52344,2020-01-08,0fwIHsKXNEcb57u2um7z9I,2020,2940682,Spoiler,2019-06-07,0.3607054114676373,0.7157894736842105,0.795,0.395,0.508,3.63e-06,0.0627,0.8098861747026473,0.017809776430466082,0.168,0.22311749380440998,4,2019-01-01,latin pop,latin talent show,spanish pop,,,,,,,,"latin pop,latin talent show,spanish pop",7eLcDZDYHXZCebtQmVFL25,1135957,0.7676767676767676,NormalPeriod,0.002556044555640012
48712,Nada Sale Mal,Aitana,34990,2020-01-08,51ltTOzVJWp3BUHzYrRxEa,2020,337255,Spoiler,2019-06-07,0.2608222637099916,0.6210526315789474,0.282,0.8290000000000001,0.635,5.08e-06,0.0837,0.6879396342243254,0.2061386888973096,0.402,0.5931816737624707,4,2019-01-01,latin pop,latin talent show,spanish pop,,,,,,,,"latin pop,latin talent show,spanish pop",7eLcDZDYHXZCebtQmVFL25,1135957,0.7676767676767676,NormalPeriod,0.00029314247736150057
48722,Vas A Quedarte,Aitana,213987,2019-01-08,2b3JxLi8KAiOsD8ehnOxDZ,2019,10216125,Tráiler,2018-11-29,0.3607054114676373,0.6421052631578947,0.795,0.395,0.508,3.63e-06,0.0627,0.8098861747026473,0.017809776430466082,0.168,0.22311749380440998,4,2018-01-01,latin pop,latin talent show,spanish pop,,,,,,,,"latin pop,latin talent show,spanish pop",7eLcDZDYHXZCebtQmVFL25,1135957,0.7676767676767676,NormalPeriod,0.012082116219301747
48783,TELÉFONO,Aitana,105795,2019-01-08,5h8VHxOBK1VWWj46T8fSly,2019,4229876,TELÉFONO,2018-07-26,0.1916860301129572,0.631578947368421,0.102,0.691,0.8290000000000001,0.000177,0.0698,0.7392249648292621,0.25539977264115193,0.564,0.7461015441316642,4,2018-01-01,latin pop,latin talent show,spanish pop,,,,,,,,"latin pop,latin talent show,spanish pop",7eLcDZDYHXZCebtQmVFL25,1135957,0.7676767676767676,NormalPeriod,0.005002469471079808
48844,Mejor Que Tú,Aitana,76027,2019-01-08,7Kn8yBD9hk8zJtgMQQrTKV,2019,2867844,Tráiler,2018-11-29,0.26761849757565176,0.43157894736842106,0.102,0.688,0.7509999999999999,3.29e-06,0.475,0.7328942319989769,0.5073891625615763,0.555,0.7832496663913071,4,2018-01-01,latin pop,latin talent show,spanish pop,,,,,,,,"latin pop,latin talent show,spanish pop",7eLcDZDYHXZCebtQmVFL25,1135957,0.7676767676767676,NormalPeriod,0.0033916601947242423
48903,Lo Malo - Operación Triunfo 2017,Aitana,67718,2019-01-08,7aJP1XcWcSU9w0eqSvaeZR,2019,3141848,Lo Malo (Operación Triunfo 2017),2018-01-28,0.2446241252870939,0.5578947368421052,0.648,0.7659999999999999,0.737,0.0,0.349,0.8633456963806113,0.07616521409624857,0.964,0.2558556268666201,4,2018-01-01,latin pop,latin talent show,spanish pop,,,,,,,,"latin pop,latin talent show,spanish pop",7eLcDZDYHXZCebtQmVFL25,1135957,0.7676767676767676,NormalPeriod,0.0037157114541355707
48964,TELÉFONO - Remix,Aitana,34925,2019-01-08,5GYM4rUDvbT9ov3eS1YMll,2019,242210,TELÉFONO (Remix),2018-11-21,0.1930103555263052,0.5789473684210527,0.201,0.672,0.8859999999999999,4.79e-05,0.104,0.8283028520271134,0.08563849943160289,0.667,0.7450467052170046,4,2018-01-01,latin pop,latin talent show,spanish pop,,,,,,,,"latin pop,latin talent show,spanish pop",7eLcDZDYHXZCebtQmVFL25,1135957,0.7676767676767676,NormalPeriod,0.0002864500355542905
48971,Chas! Y Aparezco A Tu Lado - Operación Triunfo 2017,Aitana,35360,2018-01-08,4WmjtI7srDRXNcrWmzKY6b,2018,1196744,Chas! Y Aparezco A Tu Lado (Operación Triunfo 2017),2018-01-02,0.11915705209998255,0.29473684210526313,0.0524,0.665,0.942,1.09e-05,0.307,0.8616830796777082,0.02425161045850701,0.924,0.4656351274067484,4,2018-01-01,latin pop,latin talent show,spanish pop,,,,,,,,"latin pop,latin talent show,spanish pop",7eLcDZDYHXZCebtQmVFL25,1135957,0.7676767676767676,NormalPeriod,0.0021535763008107855
49018,Con Las Ganas - Operación Triunfo 2017,Aitana,28382,2018-01-08,0tGLDookcmxxCTWvNozEQ1,2018,1886850,Con Las Ganas (Operación Triunfo 2017),2017-11-21,0.21523108538272467,0.3157894736842105,0.887,0.519,0.246,0.0,0.0701,0.4929019056145288,0.017999242137173174,0.317,0.4985766029103387,4,2017-01-01,latin pop,latin talent show,spanish pop,,,,,,,,"latin pop,latin talent show,spanish pop",7eLcDZDYHXZCebtQmVFL25,1135957,0.7676767676767676,NormalPeriod,0.003395442503313015
