,Position,Track Name,Artist,Streams,date,spotify_id,year,Streamstotal,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,genre9,artist_id,artist_followers,artist_popularity
0,2,La Difícil,Bad Bunny,399788,2020-03-14,6NfrH0ANGmgBXyxgV2PeXt,2020,14996733,YHLQMDLG,2020-02-28,0.10690473365761063,0.85,0.0861,0.685,0.848,7.14e-06,0.0783,0.8508402268352323,0.13778801843317973,0.761,0.8537468372967124,4,latin,reggaeton,trap latino,,,,,,,4q3ewBCX7sLwd24euuV69X,23787073,97
1,2,La Difícil,Bad Bunny,372705,2020-03-15,6NfrH0ANGmgBXyxgV2PeXt,2020,14996733,YHLQMDLG,2020-02-28,0.10690473365761063,0.85,0.0861,0.685,0.848,7.14e-06,0.0783,0.8508402268352323,0.13778801843317973,0.761,0.8537468372967124,4,latin,reggaeton,trap latino,,,,,,,4q3ewBCX7sLwd24euuV69X,23787073,97
2,2,La Difícil,Bad Bunny,389384,2020-03-16,6NfrH0ANGmgBXyxgV2PeXt,2020,14996733,YHLQMDLG,2020-02-28,0.10690473365761063,0.85,0.0861,0.685,0.848,7.14e-06,0.0783,0.8508402268352323,0.13778801843317973,0.761,0.8537468372967124,4,latin,reggaeton,trap latino,,,,,,,4q3ewBCX7sLwd24euuV69X,23787073,97
3,2,La Difícil,Bad Bunny,390067,2020-03-17,6NfrH0ANGmgBXyxgV2PeXt,2020,14996733,YHLQMDLG,2020-02-28,0.10690473365761063,0.85,0.0861,0.685,0.848,7.14e-06,0.0783,0.8508402268352323,0.13778801843317973,0.761,0.8537468372967124,4,latin,reggaeton,trap latino,,,,,,,4q3ewBCX7sLwd24euuV69X,23787073,97
4,2,La Difícil,Bad Bunny,392738,2020-03-18,6NfrH0ANGmgBXyxgV2PeXt,2020,14996733,YHLQMDLG,2020-02-28,0.10690473365761063,0.85,0.0861,0.685,0.848,7.14e-06,0.0783,0.8508402268352323,0.13778801843317973,0.761,0.8537468372967124,4,latin,reggaeton,trap latino,,,,,,,4q3ewBCX7sLwd24euuV69X,23787073,97
5,2,La Difícil,Bad Bunny,376102,2020-03-19,6NfrH0ANGmgBXyxgV2PeXt,2020,14996733,YHLQMDLG,2020-02-28,0.10690473365761063,0.85,0.0861,0.685,0.848,7.14e-06,0.0783,0.8508402268352323,0.13778801843317973,0.761,0.8537468372967124,4,latin,reggaeton,trap latino,,,,,,,4q3ewBCX7sLwd24euuV69X,23787073,97
6,7,La Difícil,Bad Bunny,369416,2020-03-20,6NfrH0ANGmgBXyxgV2PeXt,2020,14996733,YHLQMDLG,2020-02-28,0.10690473365761063,0.85,0.0861,0.685,0.848,7.14e-06,0.0783,0.8508402268352323,0.13778801843317973,0.761,0.8537468372967124,4,latin,reggaeton,trap latino,,,,,,,4q3ewBCX7sLwd24euuV69X,23787073,97
7,5,La Difícil,Bad Bunny,348775,2020-03-21,6NfrH0ANGmgBXyxgV2PeXt,2020,14996733,YHLQMDLG,2020-02-28,0.10690473365761063,0.85,0.0861,0.685,0.848,7.14e-06,0.0783,0.8508402268352323,0.13778801843317973,0.761,0.8537468372967124,4,latin,reggaeton,trap latino,,,,,,,4q3ewBCX7sLwd24euuV69X,23787073,97
8,5,La Difícil,Bad Bunny,318594,2020-03-22,6NfrH0ANGmgBXyxgV2PeXt,2020,14996733,YHLQMDLG,2020-02-28,0.10690473365761063,0.85,0.0861,0.685,0.848,7.14e-06,0.0783,0.8508402268352323,0.13778801843317973,0.761,0.8537468372967124,4,latin,reggaeton,trap latino,,,,,,,4q3ewBCX7sLwd24euuV69X,23787073,97
9,5,La Difícil,Bad Bunny,345791,2020-03-23,6NfrH0ANGmgBXyxgV2PeXt,2020,14996733,YHLQMDLG,2020-02-28,0.10690473365761063,0.85,0.0861,0.685,0.848,7.14e-06,0.0783,0.8508402268352323,0.13778801843317973,0.761,0.8537468372967124,4,latin,reggaeton,trap latino,,,,,,,4q3ewBCX7sLwd24euuV69X,23787073,97
10,6,La Difícil,Bad Bunny,331262,2020-03-24,6NfrH0ANGmgBXyxgV2PeXt,2020,14996733,YHLQMDLG,2020-02-28,0.10690473365761063,0.85,0.0861,0.685,0.848,7.14e-06,0.0783,0.8508402268352323,0.13778801843317973,0.761,0.8537468372967124,4,latin,reggaeton,trap latino,,,,,,,4q3ewBCX7sLwd24euuV69X,23787073,97
11,6,La Difícil,Bad Bunny,324727,2020-03-25,6NfrH0ANGmgBXyxgV2PeXt,2020,14996733,YHLQMDLG,2020-02-28,0.10690473365761063,0.85,0.0861,0.685,0.848,7.14e-06,0.0783,0.8508402268352323,0.13778801843317973,0.761,0.8537468372967124,4,latin,reggaeton,trap latino,,,,,,,4q3ewBCX7sLwd24euuV69X,23787073,97
12,6,La Difícil,Bad Bunny,323351,2020-03-26,6NfrH0ANGmgBXyxgV2PeXt,2020,14996733,YHLQMDLG,2020-02-28,0.10690473365761063,0.85,0.0861,0.685,0.848,7.14e-06,0.0783,0.8508402268352323,0.13778801843317973,0.761,0.8537468372967124,4,latin,reggaeton,trap latino,,,,,,,4q3ewBCX7sLwd24euuV69X,23787073,97
13,5,La Difícil,Bad Bunny,332587,2020-03-27,6NfrH0ANGmgBXyxgV2PeXt,2020,14996733,YHLQMDLG,2020-02-28,0.10690473365761063,0.85,0.0861,0.685,0.848,7.14e-06,0.0783,0.8508402268352323,0.13778801843317973,0.761,0.8537468372967124,4,latin,reggaeton,trap latino,,,,,,,4q3ewBCX7sLwd24euuV69X,23787073,97
14,5,La Difícil,Bad Bunny,346036,2020-03-28,6NfrH0ANGmgBXyxgV2PeXt,2020,14996733,YHLQMDLG,2020-02-28,0.10690473365761063,0.85,0.0861,0.685,0.848,7.14e-06,0.0783,0.8508402268352323,0.13778801843317973,0.761,0.8537468372967124,4,latin,reggaeton,trap latino,,,,,,,4q3ewBCX7sLwd24euuV69X,23787073,97
15,5,La Difícil,Bad Bunny,310761,2020-03-29,6NfrH0ANGmgBXyxgV2PeXt,2020,14996733,YHLQMDLG,2020-02-28,0.10690473365761063,0.85,0.0861,0.685,0.848,7.14e-06,0.0783,0.8508402268352323,0.13778801843317973,0.761,0.8537468372967124,4,latin,reggaeton,trap latino,,,,,,,4q3ewBCX7sLwd24euuV69X,23787073,97
